Code	Info	Biome	Locality	Temp	Sex
RPV 502		Amazon	RPV	A	F
RPV 503		Amazon	RPV	A	F
RPV 545		Amazon	RPV	A	F
RPV 549		Amazon	RPV	A	F
RPV 591		Amazon	RPV	A	F
RPV 602		Amazon	RPV	A	F
RPV 635		Amazon	RPV	A	F
RPV 649		Amazon	RPV	A	F
RPV 688		Amazon	RPV	A	F
RPV 693		Amazon	RPV	A	F
RPV 728		Amazon	RPV	A	F
RPV 095		Amazon	RPV	A	M
RPV 142		Amazon	RPV	A	M
RPV 147		Amazon	RPV	A	M
RPV 243		Amazon	RPV	A	M
RPV 244		Amazon	RPV	A	M
RPV 329		Amazon	RPV	A	M
RPV 330		Amazon	RPV	A	M
RPV 371		Amazon	RPV	A	M
RPV 375		Amazon	RPV	A	M
RPV 418		Amazon	RPV	A	M
RPV 455		Amazon	RPV	A	M
RPV 422		Amazon	RPV	A	M
RPV 463		Amazon	RPV	A	M
RPV 550		Amazon	RPV	A	M
RPV 551		Amazon	RPV	A	M
RPV 556		Amazon	RPV	A	M
RPV 594		Amazon	RPV	A	M
RPV 603		Amazon	RPV	A	M
RPV 604		Amazon	RPV	A	M
RPV 690		Amazon	RPV	A	M
RPV 691		Amazon	RPV	A	M
RPV 726		Amazon	RPV	A	M
RPV 729		Amazon	RPV	A	M
RPV 119		Amazon	RPV	B	F
RPV 123		Amazon	RPV	B	F
RPV 254		Amazon	RPV	B	F
RPV 258		Amazon	RPV	B	F
RPV 259		Amazon	RPV	B	F
RPV 290		Amazon	RPV	B	F
RPV 297		Amazon	RPV	B	F
RPV 300		Amazon	RPV	B	F
RPV 432		Amazon	RPV	B	F
RPV 434		Amazon	RPV	B	F
RPV 435		Amazon	RPV	B	F
RPV 470		Amazon	RPV	B	F
RPV 474		Amazon	RPV	B	F
RPV 475		Amazon	RPV	B	F
RPV 479		Amazon	RPV	B	F
RPV 480		Amazon	RPV	B	F
RPV 483		Amazon	RPV	B	F
RPV 520		Amazon	RPV	B	F
RPV 566		Amazon	RPV	B	F
RPV 574		Amazon	RPV	B	F
RPV 662		Amazon	RPV	B	F
RPV 664		Amazon	RPV	B	F
RPV 706		Amazon	RPV	B	F
RPV 709		Amazon	RPV	B	F
RPV 116		Amazon	RPV	B	M
RPV 156		Amazon	RPV	B	M
RPV 159		Amazon	RPV	B	M
RPV 167		Amazon	RPV	B	M
RPV 246		Amazon	RPV	B	M
RPV 252		Amazon	RPV	B	M
RPV 337		Amazon	RPV	B	M
RPV 339		Amazon	RPV	B	M
RPV 344		Amazon	RPV	B	M
RPV 346		Amazon	RPV	B	M
RPV 391		Amazon	RPV	B	M
RPV 425		Amazon	RPV	B	M
RPV 439		Amazon	RPV	B	M
RPV 472		Amazon	RPV	B	M
RPV 562		Amazon	RPV	B	M
RPV 570		Amazon	RPV	B	M
RPV 613		Amazon	RPV	B	M
RPV 614		Amazon	RPV	B	M
RPV 652		Amazon	RPV	B	M
RPV 653		Amazon	RPV	B	M
RPV 658		Amazon	RPV	B	M
RPV 177		Amazon	RPV	C	F
RPV 220		Amazon	RPV	C	F
RPV 273		Amazon	RPV	C	F
RPV 310		Amazon	RPV	C	F
RPV 312		Amazon	RPV	C	F
RPV 315		Amazon	RPV	C	F
RPV 399		Amazon	RPV	C	F
RPV 440		Amazon	RPV	C	F
RPV 441		Amazon	RPV	C	F
RPV 445		Amazon	RPV	C	F
RPV 495		Amazon	RPV	C	F
RPV 497		Amazon	RPV	C	F
RPV 543		Amazon	RPV	C	F
RPV 578		Amazon	RPV	C	F
RPV 582		Amazon	RPV	C	F
RPV 669		Amazon	RPV	C	F
RPV 711		Amazon	RPV	C	F
RPV 717		Amazon	RPV	C	F
RPV 722		Amazon	RPV	C	F
RPV 755		Amazon	RPV	C	F
RPV 125		Amazon	RPV	C	M
RPV 174		Amazon	RPV	C	M
RPV 176		Amazon	RPV	C	M
RPV 181		Amazon	RPV	C	M
RPV 263		Amazon	RPV	C	M
RPV 350		Amazon	RPV	C	M
RPV 395		Amazon	RPV	C	M
RPV 405		Amazon	RPV	C	M
RPV 407		Amazon	RPV	C	M
RPV 487		Amazon	RPV	C	M
RPV 499		Amazon	RPV	C	M
RPV 540		Amazon	RPV	C	M
RPV 542		Amazon	RPV	C	M
RPV 580		Amazon	RPV	C	M
RPV 621		Amazon	RPV	C	M
RPV 665		Amazon	RPV	C	M
RPV 670		Amazon	RPV	C	M
RPV 677		Amazon	RPV	C	M
RPV 714		Amazon	RPV	C	M
RPV 766		Amazon	RPV	C	M
RMO 059		Amazon	RMO	A	F
RMO 098		Amazon	RMO	A	F
RMO 099		Amazon	RMO	A	F
RMO 148		Amazon	RMO	A	F
RMO 181		Amazon	RMO	A	F
RMO 187		Amazon	RMO	A	F
RMO 227		Amazon	RMO	A	F
RMO 231		Amazon	RMO	A	F
RMO 284		Amazon	RMO	A	F
RMO 322		Amazon	RMO	A	F
RMO 324		Amazon	RMO	A	F
RMO 328		Amazon	RMO	A	F
RMO 369		Amazon	RMO	A	F
RMO 417		Amazon	RMO	A	F
RMO 459		Amazon	RMO	A	F
RMO 499		Amazon	RMO	A	F
RMO 503		Amazon	RMO	A	F
RMO 505		Amazon	RMO	A	F
RMO 507		Amazon	RMO	A	F
RMO 542		Amazon	RMO	A	F
RMO 543		Amazon	RMO	A	F
RMO 554		Amazon	RMO	A	F
RMO 598		Amazon	RMO	A	F
RMO 641		Amazon	RMO	A	F
RMO 682		Amazon	RMO	A	F
RMO 056		Amazon	RMO	A	M
RMO 093		Amazon	RMO	A	M
RMO 101		Amazon	RMO	A	M
RMO 192		Amazon	RMO	A	M
RMO 194		Amazon	RMO	A	M
RMO 226		Amazon	RMO	A	M
RMO 233		Amazon	RMO	A	M
RMO 273		Amazon	RMO	A	M
RMO 316		Amazon	RMO	A	M
RMO 327		Amazon	RMO	A	M
RMO 364		Amazon	RMO	A	M
RMO 368		Amazon	RMO	A	M
RMO 411		Amazon	RMO	A	M
RMO 413		Amazon	RMO	A	M
RMO 414		Amazon	RMO	A	M
RMO 458		Amazon	RMO	A	M
RMO 501		Amazon	RMO	A	M
RMO 504		Amazon	RMO	A	M
RMO 541		Amazon	RMO	A	M
RMO 546		Amazon	RMO	A	M
RMO 596		Amazon	RMO	A	M
RMO 639		Amazon	RMO	A	M
RMO 062		Amazon	RMO	B	F
RMO 063		Amazon	RMO	B	F
RMO 118		Amazon	RMO	B	F
RMO 205		Amazon	RMO	B	F
RMO 241		Amazon	RMO	B	F
RMO 247		Amazon	RMO	B	F
RMO 288		Amazon	RMO	B	F
RMO 336		Amazon	RMO	B	F
RMO 344		Amazon	RMO	B	F
RMO 432		Amazon	RMO	B	F
RMO 513		Amazon	RMO	B	F
RMO 520		Amazon	RMO	B	F
RMO 557		Amazon	RMO	B	F
RMO 561		Amazon	RMO	B	F
RMO 602		Amazon	RMO	B	F
RMO 603		Amazon	RMO	B	F
RMO 605		Amazon	RMO	B	F
RMO 611		Amazon	RMO	B	F
RMO 659		Amazon	RMO	B	F
RMO 691		Amazon	RMO	B	F
RMO 694		Amazon	RMO	B	F
RMO 696		Amazon	RMO	B	F
RMO 701		Amazon	RMO	B	F
RMO 702		Amazon	RMO	B	F
RMO 071		Amazon	RMO	B	M
RMO 106		Amazon	RMO	B	M
RMO 114		Amazon	RMO	B	M
RMO 197		Amazon	RMO	B	M
RMO 198		Amazon	RMO	B	M
RMO 199		Amazon	RMO	B	M
RMO 286		Amazon	RMO	B	M
RMO 331		Amazon	RMO	B	M
RMO 333		Amazon	RMO	B	M
RMO 335		Amazon	RMO	B	M
RMO 338		Amazon	RMO	B	M
RMO 341		Amazon	RMO	B	M
RMO 345		Amazon	RMO	B	M
RMO 423		Amazon	RMO	B	M
RMO 472		Amazon	RMO	B	M
RMO 475		Amazon	RMO	B	M
RMO 476		Amazon	RMO	B	M
RMO 518		Amazon	RMO	B	M
RMO 521		Amazon	RMO	B	M
RMO 562		Amazon	RMO	B	M
RMO 646		Amazon	RMO	B	M
RMO 653		Amazon	RMO	B	M
RMO 656		Amazon	RMO	B	M
RMO 657		Amazon	RMO	B	M
RMO 700		Amazon	RMO	B	M
RMO 084		Amazon	RMO	C	F
RMO 122		Amazon	RMO	C	F
RMO 171		Amazon	RMO	C	F
RMO 178		Amazon	RMO	C	F
RMO 217		Amazon	RMO	C	F
RMO 258		Amazon	RMO	C	F
RMO 266		Amazon	RMO	C	F
RMO 308		Amazon	RMO	C	F
RMO 348		Amazon	RMO	C	F
