ID	Biome	State	Locality	Family	Temp_let	Sex
RMO 503	Amazon	Rondonia	RMO	36	A	F
RMO 504	Amazon	Rondonia	RMO	36	A	M
RMO 505	Amazon	Rondonia	RMO	36	A	F
RMO 507	Amazon	Rondonia	RMO	36	A	F
RMO 513	Amazon	Rondonia	RMO	36	B	F
RMO 518	Amazon	Rondonia	RMO	36	B	M
RMO 520	Amazon	Rondonia	RMO	36	B	F
RMO 521	Amazon	Rondonia	RMO	36	B	M
RMO 536	Amazon	Rondonia	RMO	36	C	M
RMO 537	Amazon	Rondonia	RMO	36	C	F
RMO 538	Amazon	Rondonia	RMO	36	C	F
RMO 539	Amazon	Rondonia	RMO	36	C	M
RMO 541	Amazon	Rondonia	RMO	42	A	M
RMO 542	Amazon	Rondonia	RMO	42	A	F
RMO 543	Amazon	Rondonia	RMO	42	A	F
RMO 546	Amazon	Rondonia	RMO	42	A	M
RMO 554	Amazon	Rondonia	RMO	42	A	F
RMO 557	Amazon	Rondonia	RMO	42	B	F
RMO 561	Amazon	Rondonia	RMO	42	B	F
RMO 562	Amazon	Rondonia	RMO	42	B	M
RMO 571	Amazon	Rondonia	RMO	42	C	F
RMO 573	Amazon	Rondonia	RMO	42	C	F
RMO 596	Amazon	Rondonia	RMO	13	A	M
RMO 598	Amazon	Rondonia	RMO	13	A	F
RMO 602	Amazon	Rondonia	RMO	13	B	F
RMO 603	Amazon	Rondonia	RMO	13	B	F
RMO 605	Amazon	Rondonia	RMO	13	B	F
RMO 611	Amazon	Rondonia	RMO	13	B	F
RMO 625	Amazon	Rondonia	RMO	13	C	M
RMO 629	Amazon	Rondonia	RMO	13	C	F
RMO 639	Amazon	Rondonia	RMO	17	A	M
RMO 641	Amazon	Rondonia	RMO	17	A	F
RMO 646	Amazon	Rondonia	RMO	17	B	M
RMO 653	Amazon	Rondonia	RMO	17	B	M
RMO 656	Amazon	Rondonia	RMO	17	B	M
RMO 657	Amazon	Rondonia	RMO	17	B	M
RMO 659	Amazon	Rondonia	RMO	17	B	F
RMO 663	Amazon	Rondonia	RMO	17	C	F
RMO 671	Amazon	Rondonia	RMO	17	C	M
RMO 674	Amazon	Rondonia	RMO	17	C	F
RMO 682	Amazon	Rondonia	RMO	5	A	F
RMO 691	Amazon	Rondonia	RMO	5	B	F
RMO 694	Amazon	Rondonia	RMO	5	B	F
RMO 696	Amazon	Rondonia	RMO	5	B	F
RMO 700	Amazon	Rondonia	RMO	5	B	M
RMO 701	Amazon	Rondonia	RMO	5	B	F
RMO 702	Amazon	Rondonia	RMO	5	B	F
RMO 707	Amazon	Rondonia	RMO	5	C	M
RMO 708	Amazon	Rondonia	RMO	5	C	M
RMO 709	Amazon	Rondonia	RMO	5	C	M
RMO 712	Amazon	Rondonia	RMO	5	C	M
RMO 716	Amazon	Rondonia	RMO	5	C	F
RPV 095	Amazon	Rondonia	RPV	11	A	M
RPV 103	Amazon	Rondonia	RPV	11	A	F
RPV 116	Amazon	Rondonia	RPV	11	B	M
RPV 119	Amazon	Rondonia	RPV	11	B	F
RPV 123	Amazon	Rondonia	RPV	11	B	F
RPV 125	Amazon	Rondonia	RPV	11	C	M
RPV 142	Amazon	Rondonia	RPV	23	A	M
RPV 147	Amazon	Rondonia	RPV	23	A	M
RPV 156	Amazon	Rondonia	RPV	23	B	M
RPV 159	Amazon	Rondonia	RPV	23	B	M
RPV 167	Amazon	Rondonia	RPV	23	B	M
RPV 174	Amazon	Rondonia	RPV	23	C	M
RPV 176	Amazon	Rondonia	RPV	23	C	M
RPV 177	Amazon	Rondonia	RPV	23	C	F
RPV 181	Amazon	Rondonia	RPV	23	C	M
RPV 185	Amazon	Rondonia	RPV	25	A	F
RPV 191	Amazon	Rondonia	RPV	25	A	F
RPV 195	Amazon	Rondonia	RPV	25	A	F
RPV 220	Amazon	Rondonia	RPV	25	C	F
RPV 243	Amazon	Rondonia	RPV	38	A	M
RPV 244	Amazon	Rondonia	RPV	38	A	M
RPV 246	Amazon	Rondonia	RPV	38	B	M
RPV 252	Amazon	Rondonia	RPV	38	B	M
RPV 254	Amazon	Rondonia	RPV	38	B	F
RPV 258	Amazon	Rondonia	RPV	38	B	F
RPV 259	Amazon	Rondonia	RPV	38	B	F
RPV 263	Amazon	Rondonia	RPV	38	C	M
RPV 273	Amazon	Rondonia	RPV	38	C	F
RPV 280	Amazon	Rondonia	RPV	12	A	F
RPV 281	Amazon	Rondonia	RPV	12	A	F
RPV 290	Amazon	Rondonia	RPV	12	B	F
RPV 297	Amazon	Rondonia	RPV	12	B	F
RPV 300	Amazon	Rondonia	RPV	12	B	F
RPV 310	Amazon	Rondonia	RPV	12	C	F
RPV 312	Amazon	Rondonia	RPV	12	C	F
RPV 315	Amazon	Rondonia	RPV	12	C	F
RPV 329	Amazon	Rondonia	RPV	17	A	M
RPV 330	Amazon	Rondonia	RPV	17	A	M
RPV 337	Amazon	Rondonia	RPV	17	B	M
RPV 339	Amazon	Rondonia	RPV	17	B	M
RPV 344	Amazon	Rondonia	RPV	17	B	M
RPV 346	Amazon	Rondonia	RPV	17	B	M
RPV 350	Amazon	Rondonia	RPV	17	C	M
RPV 366	Amazon	Rondonia	RPV	18	A	F
RPV 371	Amazon	Rondonia	RPV	18	A	M
RPV 372	Amazon	Rondonia	RPV	18	A	F
RPV 374	Amazon	Rondonia	RPV	18	A	F
RPV 375	Amazon	Rondonia	RPV	18	A	M
RPV 391	Amazon	Rondonia	RPV	18	B	M
RPV 395	Amazon	Rondonia	RPV	18	C	F
RPV 399	Amazon	Rondonia	RPV	18	C	F
RPV 405	Amazon	Rondonia	RPV	18	C	M
RPV 407	Amazon	Rondonia	RPV	18	C	M
RPV 418	Amazon	Rondonia	RPV	19	A	M
RPV 422	Amazon	Rondonia	RPV	19	A	M
RPV 425	Amazon	Rondonia	RPV	19	B	M
RPV 432	Amazon	Rondonia	RPV	19	B	F
RPV 434	Amazon	Rondonia	RPV	19	B	F
RPV 435	Amazon	Rondonia	RPV	19	B	F
RPV 439	Amazon	Rondonia	RPV	19	B	M
RPV 440	Amazon	Rondonia	RPV	19	C	F
RPV 441	Amazon	Rondonia	RPV	19	C	F
RPV 445	Amazon	Rondonia	RPV	19	C	F
RPV 455	Amazon	Rondonia	RPV	20	A	M
RPV 461	Amazon	Rondonia	RPV	20	A	F
RPV 462	Amazon	Rondonia	RPV	20	A	F
RPV 463	Amazon	Rondonia	RPV	20	A	M
RPV 470	Amazon	Rondonia	RPV	20	B	F
RPV 472	Amazon	Rondonia	RPV	20	B	M
RPV 474	Amazon	Rondonia	RPV	20	B	F
RPV 475	Amazon	Rondonia	RPV	20	B	F
RPV 479	Amazon	Rondonia	RPV	20	B	F
RPV 480	Amazon	Rondonia	RPV	20	B	F
RPV 483	Amazon	Rondonia	RPV	20	B	F
RPV 487	Amazon	Rondonia	RPV	20	C	M
RPV 495	Amazon	Rondonia	RPV	20	C	F
RPV 497	Amazon	Rondonia	RPV	20	C	F
RPV 499	Amazon	Rondonia	RPV	20	C	M
