ID	Latitude	Wing.length..mm.
RMO 335	-9.223	3.038
RMO 336	-9.223	2.561
RMO 338	-9.223	2.686
RMO 341	-9.223	2.781
RMO 344	-9.223	2.632
RMO 345	-9.223	2.871
RMO 348	-9.223	2.473
RMO 364	-9.223	2.818
RMO 368	-9.223	2.72
RMO 369	-9.223	2.627
RMO 391	-9.223	2.531
RMO 396	-9.223	2.389
RMO 403	-9.223	2.591
RMO 404	-9.223	2.348
RMO 411	-9.223	2.687
RMO 413	-9.223	2.734
RMO 414	-9.223	2.825
RMO 417	-9.223	2.667
RMO 423	-9.223	2.426
RMO 432	-9.223	2.409
RMO 442	-9.223	2.595
RMO 449	-9.223	2.546
RMO 458	-9.223	2.85
RMO 459	-9.223	2.608
RMO 472	-9.223	2.615
RMO 475	-9.223	2.705
RMO 476	-9.223	2.615
RMO 491	-9.223	2.591
RMO 499	-9.223	2.9
RMO 501	-9.223	2.607
RMO 503	-9.223	2.576
RMO 504	-9.223	2.565
RMO 505	-9.223	2.682
RMO 507	-9.223	2.739
RMO 513	-9.223	2.59
RMO 518	-9.223	2.444
RMO 520	-9.223	2.664
RMO 521	-9.223	2.562
RMO 536	-9.223	2.627
RMO 537	-9.223	2.496
RMO 538	-9.223	2.423
RMO 539	-9.223	2.772
RMO 541	-9.223	2.813
RMO 542	-9.223	2.657
RMO 543	-9.223	2.594
RMO 546	-9.223	2.941
RMO 554	-9.223	2.801
RMO 557	-9.223	2.602
RMO 561	-9.223	2.717
RMO 562	-9.223	2.621
RMO 571	-9.223	2.521
RMO 573	-9.223	2.556
RMO 596	-9.223	2.79
RMO 598	-9.223	2.625
RMO 602	-9.223	2.593
RMO 603	-9.223	2.532
RMO 605	-9.223	2.64
RMO 611	-9.223	2.407
RMO 625	-9.223	2.811
RMO 629	-9.223	2.551
RMO 639	-9.223	2.892
RMO 641	-9.223	2.938
RMO 646	-9.223	2.714
RMO 653	-9.223	2.664
RMO 656	-9.223	2.618
RMO 657	-9.223	2.407
RMO 659	-9.223	2.674
RMO 663	-9.223	2.549
RMO 671	-9.223	2.443
RMO 674	-9.223	2.45
RMO 682	-9.223	2.731
RMO 691	-9.223	2.615
RMO 694	-9.223	2.425
RMO 696	-9.223	2.655
RMO 700	-9.223	2.794
RMO 701	-9.223	2.524
RMO 702	-9.223	2.56
RMO 707	-9.223	2.548
RMO 708	-9.223	2.516
RMO 709	-9.223	2.707
RMO 712	-9.223	2.41
RMO 716	-9.223	2.256
RPV 095	-8.742	2.892
RPV 103	-8.742	2.865
RPV 116	-8.742	2.612
RPV 119	-8.742	2.522
RPV 123	-8.742	2.73
RPV 125	-8.742	2.328
RPV 142	-8.742	2.703
RPV 147	-8.742	3.038
RPV 156	-8.742	2.611
RPV 159	-8.742	2.816
RPV 167	-8.742	2.736
RPV 174	-8.742	2.524
RPV 176	-8.742	2.528
RPV 177	-8.742	2.237
RPV 181	-8.742	2.602
RPV 185	-8.742	2.752
RPV 191	-8.742	2.778
RPV 195	-8.742	2.765
RPV 220	-8.742	2.373
RPV 243	-8.742	2.81
RPV 244	-8.742	3.053
RPV 246	-8.742	2.59
RPV 252	-8.742	2.789
RPV 254	-8.742	2.577
RPV 258	-8.742	2.668
RPV 259	-8.742	2.622
RPV 263	-8.742	2.587
RPV 273	-8.742	2.174
RPV 280	-8.742	2.643
RPV 281	-8.742	2.604
RPV 290	-8.742	2.73
RPV 297	-8.742	2.609
RPV 300	-8.742	2.577
RPV 310	-8.742	2.439
RPV 312	-8.742	2.594
RPV 315	-8.742	2.594
RPV 329	-8.742	2.997
RPV 330	-8.742	2.9
RPV 337	-8.742	2.426
RPV 339	-8.742	2.721
RPV 344	-8.742	3.034
RPV 346	-8.742	2.503
RPV 350	-8.742	2.603
RPV 366	-8.742	2.799
RPV 371	-8.742	2.862
RPV 372	-8.742	2.851
RPV 374	-8.742	2.887
RPV 375	-8.742	2.963
RPV 391	-8.742	2.749
RPV 395	-8.742	2.506
RPV 399	-8.742	2.601
RPV 405	-8.742	2.388
RPV 407	-8.742	2.449
RPV 418	-8.742	2.939
RPV 422	-8.742	3.008
RPV 425	-8.742	2.742
RPV 432	-8.742	2.549
RPV 434	-8.742	2.775
RPV 435	-8.742	2.589
RPV 439	-8.742	2.641
RPV 440	-8.742	2.574
RPV 441	-8.742	2.421
RPV 445	-8.742	2.334
RPV 455	-8.742	2.702
RPV 461	-8.742	2.463
RPV 462	-8.742	2.485
RPV 463	-8.742	2.598
RPV 470	-8.742	2.608
RPV 472	-8.742	2.505
RPV 474	-8.742	2.601
RPV 475	-8.742	2.602
RPV 479	-8.742	2.651
RPV 480	-8.742	2.713
RPV 483	-8.742	2.717
RPV 487	-8.742	2.756
RPV 495	-8.742	2.197
RPV 497	-8.742	2.369
RPV 499	-8.742	2.551
RPV 502	-8.742	2.922
RPV 503	-8.742	2.671
RPV 520	-8.742	2.537
RPV 540	-8.742	2.308
RPV 542	-8.742	2.481
RPV 543	-8.742	2.561
RPV 545	-8.742	2.379
RPV 549	-8.742	2.808
RPV 550	-8.742	2.946
RPV 551	-8.742	2.838
RPV 556	-8.742	2.883
RPV 562	-8.742	2.596
RPV 566	-8.742	2.483
RPV 570	-8.742	2.59
RPV 574	-8.742	2.629
RPV 578	-8.742	2.405
RPV 580	-8.742	2.631
RPV 582	-8.742	2.307
RPV 591	-8.742	2.802
RPV 594	-8.742	3.068
RPV 602	-8.742	3.029
RPV 603	-8.742	2.923
RPV 604	-8.742	3.05
RPV 613	-8.742	2.656
RPV 614	-8.742	2.935
RPV 621	-8.742	2.545
RPV 635	-8.742	2.674
RPV 649	-8.742	2.802
RPV 652	-8.742	2.484
RPV 653	-8.742	2.665
RPV 658	-8.742	2.84
RPV 662	-8.742	2.557
