ID,Biome,Latitude,Locality ,Length.mm,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13
APR 012,Amazon,-3.028,APR,3.2671,0.813447536,1.182602441,3.956164521,1.081329857,4.008434242,1.163001296,2.953239246,1.015992705,4.028035388,1.251206451,3.995366812,1.349212178,3.858158794,1.44068419,3.113315267,1.352479035,3.642546194,1.551757347,3.335461582,1.65629679,1.966648259,1.280608169,2.838899231,1.734701371,2.280266586,1.731434514
APR 013,Amazon,-3.028,APR,2.7664,0.806913821,1.11726529,3.443267882,1.051928139,3.505338176,1.140133293,2.688623783,1.025793278,3.524939321,1.228338447,3.495537603,1.313276744,3.397531876,1.378613896,2.77356208,1.293675599,3.198253564,1.463552193,2.904236382,1.555024205,1.79023795,1.241405878,2.505679759,1.623628214,2.035252268,1.626895071
APR 014,Amazon,-3.028,APR,2.8524,0.819981251,1.506021341,3.505338176,1.460285335,3.583742758,1.545223632,2.806230655,1.408015614,3.613144476,1.639962502,3.577209043,1.734701371,3.482470173,1.796771665,2.881368379,1.698765938,3.283191861,1.881709962,3.005508967,1.943780256,1.858841959,1.587692781,2.593884913,2.00585055,2.146325426,1.999316835
APR 015,Amazon,-3.028,APR,2.7277,1.398215041,1.23813902,3.992099954,1.231605305,4.054170248,1.323077317,3.201520422,1.176068726,4.070504536,1.391681326,4.044369676,1.473352765,3.949630806,1.541956775,3.3648633,1.45375162,3.776487355,1.630161929,3.515138749,1.702032796,2.381539171,1.368813323,3.057778688,1.744501944,2.57101691,1.731434514
APR 016,Amazon,-3.028,APR,3.0582,0.816714393,1.479886481,3.720950776,1.251206451,3.78302107,1.323077317,2.829098658,1.251206451,3.80915593,1.414549329,3.7960885,1.496220768,3.70134963,1.571358493,2.982640964,1.535423059,3.485737031,1.68243165,3.172118703,1.786971092,1.907844823,1.525622487,2.67882321,1.875176247,2.24759801,1.91111168
APR 017,Amazon,-3.028,APR,2.8027,0.872250972,2.041785983,3.560874755,2.045052841,3.59354333,2.11365685,2.724559216,1.950313971,3.609877618,2.182260859,3.583742758,2.250864868,3.475936458,2.312935162,2.900969525,2.237797438,3.296259291,2.401140316,3.034910685,2.469744325,1.871909389,2.149592283,2.574283768,2.525280904,2.11365685,2.512213474
APR 018,Amazon,-3.028,APR,2.856,1.123799005,1.13033272,3.832023933,1.084596714,3.897361085,1.176068726,3.044711258,1.045394423,3.923495945,1.270807596,3.894094227,1.352479035,3.80915593,1.424349902,3.181919276,1.339411605,3.609877618,1.512555056,3.315860437,1.587692781,2.143058568,1.257740166,2.89443581,1.639962502,2.368471741,1.626895071
APR 019,Amazon,-3.028,APR,3.0202,1.136866435,1.506021341,4.001900527,1.45375162,4.070504536,1.541956775,3.116582125,1.430883617,4.109706827,1.639962502,4.073771394,1.728167656,3.975765666,1.80330538,3.23092214,1.721633941,3.773220497,1.89804425,3.45960217,1.986249404,2.201862004,1.643229359,3.00224211,2.045052841,2.482811756,2.038519126
APR 020,Amazon,-3.028,APR,2.7602,1.179335584,1.636695644,3.832023933,1.463552193,3.861425651,1.512555056,3.038177543,1.430883617,3.887560512,1.607293926,3.874493082,1.698765938,3.78302107,1.770636805,3.175385561,1.718367083,3.636012479,1.852308244,3.348529012,1.947047114,2.211662577,1.685698508,2.92057067,2.035252268,2.430542034,2.061387129
APR 021,Amazon,-3.028,APR,2.7161,0.836315539,1.819639668,3.377930731,1.718367083,3.440001024,1.796771665,2.642887777,1.69549908,3.479203315,1.894777392,3.462869027,1.99278312,3.358329585,2.051586556,2.740893504,1.966648259,3.181919276,2.143058568,2.90750324,2.218196292,1.822906526,1.920912253,2.505679759,2.280266586,2.074454559,2.296600874
