Code,Latitude,Locality,Family,Temp Num,Well,Sex,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13
ARS 174,-2.864,ARS,16,24,1,F,0,2.814,923.08,3.015570889
ARS 178,-2.864,ARS,16,24,2,M,1,2.512,831.56,2.716588083
ARS 180,-2.864,ARS,16,24,2,M,1,2.724,883.22,2.885353946
ARS 181,-2.864,ARS,16,24,3,M,1,2.509,813.48,2.657523299
ARS 182,-2.864,ARS,16,24,3,F,0,2.575,847.92,2.770033873
ARS 186,-2.864,ARS,16,28,1,M,1,2.456,796.19,2.601039331
ARS 188,-2.864,ARS,16,28,1,F,0,2.385,786.09,2.56804407
ARS 196,-2.864,ARS,16,28,3,F,0,2.355,779.98,2.54808357
ARS 246,-2.864,ARS,4,20,1,F,0,2.766,899.49,2.938505718
ARS 247,-2.864,ARS,4,20,1,M,1,2.621,846.25,2.764578221
ARS 251,-2.864,ARS,4,20,2,M,1,2.692,875.93,2.861538554
ARS 254,-2.864,ARS,4,20,2,F,0,2.745,906.8,2.962386447
ARS 255,-2.864,ARS,4,20,2,F,0,2.659,876.9,2.864707406
ARS 259,-2.864,ARS,4,20,3,M,1,2.725,876.6,2.863727349
ARS 261,-2.864,ARS,4,24,1,M,1,2.576,831.43,2.716163392
ARS 264,-2.864,ARS,4,24,1,F,0,2.785,912.36,2.980550175
ARS 265,-2.864,ARS,4,24,1,F,0,2.547,836.64,2.73318372
ARS 268,-2.864,ARS,4,24,2,M,1,2.856,925.4,3.023149998
ARS 269,-2.864,ARS,4,24,2,M,1,2.836,899.89,2.939812461
ARS 272,-2.864,ARS,4,24,3,F,0,2.483,816.2,2.666409151
ARS 276,-2.864,ARS,4,28,1,F,0,2.345,771.8,2.521360675
ARS 278,-2.864,ARS,4,28,1,M,1,2.593,834.26,2.725408599
ARS 282,-2.864,ARS,4,28,2,F,0,2.439,809.48,2.644455868
ARS 287,-2.864,ARS,4,28,3,M,1,2.478,789.62,2.579576077
ARS 294,-2.864,ARS,1,20,1,M,1,2.787,904.33,2.954317309
ARS 300,-2.864,ARS,1,20,2,M,1,2.999,965.93,3.155555736
ARS 303,-2.864,ARS,1,20,3,F,0,2.715,894.56,2.922400111
ARS 306,-2.864,ARS,1,24,1,F,0,2.724,897.4,2.931677986
ARS 313,-2.864,ARS,1,24,2,M,1,2.495,841.75,2.749877362
ARS 322,-2.864,ARS,1,28,1,M,1,2.759,907.19,2.963660522
ARS 325,-2.864,ARS,1,28,1,F,0,2.551,835.39,2.729100148
ARS 326,-2.864,ARS,1,28,2,M,1,2.563,776.12,2.5354735
ARS 332,-2.864,ARS,1,28,3,M,1,2.417,833.08,2.721553707
ARS 335,-2.864,ARS,1,28,3,M,1,2.965,827.6,2.703651328
ARS 343,-2.864,ARS,9,20,2,F,0,2.779,922.88,3.014917517
ARS 351,-2.864,ARS,9,24,1,M,1,2.696,869.01,2.8389319
ARS 353,-2.864,ARS,9,24,1,F,0,2.697,893.55,2.919100584
ARS 356,-2.864,ARS,9,24,2,M,1,2.682,862.89,2.818938731
ARS 362,-2.864,ARS,9,24,3,F,0,2.319,756.94,2.472815171
ARS 364,-2.864,ARS,9,24,3,M,1,2.454,795.62,2.599177222
ARS 369,-2.864,ARS,9,28,1,F,0,2.537,846.29,2.764708896
ARS 371,-2.864,ARS,9,28,2,M,1,2.519,825.26,2.696006881
ARS 372,-2.864,ARS,9,28,2,F,0,2.443,811.01,2.64945416
ARS 373,-2.864,ARS,9,28,2,F,0,2.483,798.08,2.607213692
ARS 378,-2.864,ARS,9,28,3,F,0,2.321,768.31,2.509959342
ARS 379,-2.864,ARS,9,28,3,M,1,2.396,951.86,3.10959105
ARS 384,-2.864,ARS,6,20,1,M,1,2.725,854.76,2.792379179
ARS 390,-2.864,ARS,6,20,2,M,1,2.896,943.21,3.081332732
ARS 391,-2.864,ARS,6,20,3,F,0,2.725,910.23,2.973591769
ARS 393,-2.864,ARS,6,20,3,F,0,2.599,860.5,2.811130942
ARS 400,-2.864,ARS,6,24,1,M,1,2.681,864.56,2.824394383
ARS 404,-2.864,ARS,6,24,2,F,0,2.559,846.56,2.765590947
ARS 413,-2.864,ARS,6,28,1,M,1,2.566,778.09,2.541909209
ARS 416,-2.864,ARS,6,28,2,M,1,2.483,838.4,2.738933389
ARS 417,-2.864,ARS,6,28,2,F,0,2.523,837.32,2.735405183
ARS 421,-2.864,ARS,6,28,3,M,1,2.592,802.65,2.622143231
ARS 422,-2.864,ARS,6,28,3,M,1,2.576,826.05,2.698587698
ARS 434,-2.864,ARS,13,20,2,M,1,2.747,898.91,2.936610941
ARS 436,-2.864,ARS,13,20,3,M,1,2.76,903.73,2.952357195
ARS 438,-2.864,ARS,13,20,3,F,0,2.63,869.88,2.841774066
ARS 449,-2.864,ARS,13,24,2,F,0,2.663,881.63,2.880159642
ARS 454,-2.864,ARS,13,24,3,F,0,2.638,883.95,2.887738752
ARS 456,-2.864,ARS,13,28,1,M,1,2.397,778.05,2.541778535
ARS 459,-2.864,ARS,13,28,1,F,0,2.614,764.25,2.4966959
ARS 462,-2.864,ARS,13,28,2,F,0,2.269,796.81,2.603064783
ARS 470,-2.864,ARS,13,28,3,F,0,2.4,855.08,2.793424574
ARS 516,-2.864,ARS,8,20,1,M,1,2.709,882.51,2.883034477
ARS 521,-2.864,ARS,8,20,2,M,1,2.744,883.74,2.887052712
ARS 523,-2.864,ARS,8,20,2,F,0,2.703,891.08,2.911031446
ARS 524,-2.864,ARS,8,20,2,F,0,2.653,876,2.861767234
ARS 525,-2.864,ARS,8,20,2,F,0,2.892,954.91,3.119554965
ARS 531,-2.864,ARS,8,24,1,F,0,2.64,875.91,2.861473217
ARS 533,-2.864,ARS,8,24,1,F,0,2.746,913.82,2.985319787
ARS 537,-2.864,ARS,8,24,2,F,0,2.593,864.97,2.825733795
ARS 545,-2.864,ARS,8,24,3,F,0,2.708,901.12,2.943830696
ARS 556,-2.864,ARS,8,28,3,F,0,2.459,820.1,2.679149896
