Code,Latitude,Family,Temp Num,Well,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13,CS 18 from MOG,CS 18 scaled,,
APR 531,-3.028,36,24,3,0,2.51,834.82,2.727238039,740.29,2.418421993,,
APR 534,-3.028,36,28,1,1,2.592,846.07,2.763990187,710.23,2.320220254,,
APR 542,-3.028,36,28,2,1,2.801,911.85,2.978884078,757.84,2.475755343,,
APR 544,-3.028,36,28,3,1,2.646,868.81,2.838278528,739.69,2.416461878,,
APR 546,-3.028,36,28,3,1,2.46,795.82,2.599830594,660.15,2.156616027,,
APR 562,-3.028,38,20,3,0,2.705,898.65,2.935761558,792.8,2.589964684,,
APR 567,-3.028,38,24,1,0,2.459,815.34,2.663599654,719.37,2.350079332,,
APR 569,-3.028,38,24,2,0,2.397,791.33,2.585162403,682,2.227996865,,
APR 571,-3.028,38,24,2,1,2.572,837.29,2.735307177,686.93,2.244102473,,
APR 573,-3.028,38,24,2,0,2.723,898.42,2.935010181,784.81,2.563862492,,
APR 575,-3.028,38,24,3,1,2.529,821.61,2.684082851,693.09,2.264226315,,
APR 585,-3.028,38,28,2,0,2.626,867.88,2.835240351,760.5,2.484445184,,
APR 589,-3.028,38,28,3,1,2.514,821.45,2.683560153,679.81,2.220842447,,
APR 591,-3.028,38,28,3,0,2.426,806.29,2.634034593,695.13,2.270890705,,
APR 593,-3.028,38,28,3,0,2.554,847.88,2.769903199,749.27,2.447758374,,
APR 605,-3.028,40,20,3,0,2.685,884.16,2.888424792,787.92,2.574022419,,
APR 606,-3.028,40,20,3,1,2.827,923.1,3.015636226,768.77,2.511462096,,
APR 624,-3.028,40,28,1,0,2.327,769.64,2.514304263,673.88,2.201469981,,
APR 627,-3.028,40,28,1,1,2.673,875.78,2.861048525,731.01,2.388105555,,
APR 631,-3.028,40,28,2,1,2.506,823.43,2.690028531,679.42,2.219568372,,
APR 639,-3.028,44,20,1,0,2.766,925.36,3.023019324,822.97,2.688525777,,
APR 641,-3.028,44,20,1,0,2.646,883.41,2.885974649,758.97,2.479446892,,
