ID,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18
RMO 396,2.266895229,1.741001667,2.943044094,1.754067346,3.733517647,2.041512274,3.766181843,2.123172765,3.779247521,2.195033997,3.756382584,2.286493747,3.651857156,2.332223622,3.485269754,2.391019175,3.204357665,2.43348263,2.854850764,2.443281889,2.247296711,2.038245854,2.639267068,2.07744289,2.652332746,2.015380917,2.80258805,2.067643631,2.822186567,1.969651042,2.828719407,1.89452339,3.060635201,1.89778981,3.106365076,2.185234738
RMO 449,1.852059935,1.427425382,2.551073737,1.577680685,3.328481611,2.031713015,3.34481371,2.103574247,3.33828087,2.185234738,3.302350254,2.240763872,3.194558406,2.299559425,3.011638906,2.325690782,2.737259657,2.319157943,2.342022881,2.270161649,1.786731542,1.701804632,2.198300417,1.845527096,2.224431774,1.780198703,2.358354979,1.855326355,2.397552014,1.773665864,2.426949791,1.695271792,2.652332746,1.754067346,2.652332746,2.031713015
RMO 537,1.53521723,1.450290319,2.266895229,1.322899953,3.116164335,1.4470239,3.191291987,1.522151551,3.220689763,1.603812042,3.201091245,1.685472533,3.096565817,1.776932283,2.923445576,1.868392033,2.655599166,1.946786104,2.25382955,2.028446595,1.571147846,1.727935989,1.943519685,1.695271792,1.940253265,1.62667698,2.129705604,1.662607596,2.119906345,1.571147846,2.110107086,1.486220935,2.397552014,1.44375748,2.489011764,1.721403149
RMO 538,1.672406855,1.698538212,2.319157943,1.675673274,3.194558406,1.89452339,3.240288281,1.972917461,3.266419638,2.044778694,3.24682112,2.136238443,3.145562112,2.201566836,2.946310514,2.270161649,2.701329041,2.325690782,2.286493747,2.338756461,1.669140435,1.966384622,2.008848078,1.995782399,2.018647336,1.923921167,2.214632515,1.98271672,2.227698193,1.891256971,2.227698193,1.80959648,2.456347568,1.80959648,2.560872996,2.083975729
RMO 571,1.969651042,1.453556739,2.675197684,1.414359703,3.576729504,1.656074757,3.606127281,1.721403149,3.622459379,1.786731542,3.586528763,1.871658453,3.495069013,1.920654747,3.312149513,2.002315238,3.057368781,2.07744289,2.642533487,2.116639926,1.979450301,1.724669569,2.371420657,1.754067346,2.384486336,1.682206114,2.544540898,1.737735248,2.554340157,1.649541917,2.570672255,1.564615007,2.835252246,1.558082167,2.916912737,1.838994256
RMO 573,1.963118203,1.479688096,2.551073737,1.120381936,3.442806299,0.891732561,3.508134691,0.940728856,3.560397406,1.002790829,3.576729504,1.077918481,3.534266049,1.16937823,3.377477906,1.335965632,3.188025567,1.518885132,2.838518666,1.754067346,2.067643631,1.744268087,2.400818434,1.574414266,2.361621398,1.515618712,2.53147522,1.469888837,2.495544604,1.398027605,2.462880407,1.322899953,2.675197684,1.202042427,2.907113478,1.378429087
RMO 629,2.162369801,1.502553034,2.835252246,1.522151551,3.694320611,1.793264381,3.730251227,1.852059935,3.756382584,1.946786104,3.730251227,2.025180176,3.638791477,2.097041408,3.462404817,2.162369801,3.168427049,2.204833256,2.714394719,2.214632515,2.16563622,1.80633006,2.554340157,1.848793515,2.564139416,1.776932283,2.714394719,1.832461417,2.733993237,1.741001667,2.740526076,1.662607596,2.988773969,1.659341176,3.044303103,1.956585363
RMO 663,2.191767577,1.215108105,2.894047799,1.100783418,3.779247521,1.195509588,3.821710977,1.26083798,3.841309495,1.332699212,3.824977396,1.414359703,3.713919129,1.509085873,3.527733209,1.600545623,3.295817415,1.695271792,2.89078138,1.773665864,2.234231033,1.492753775,2.606602871,1.460089578,2.600070032,1.381695507,2.789522371,1.411093284,2.782989532,1.332699212,2.789522371,1.244505882,3.018171746,1.221640945,3.116164335,1.473155257
RMO 674,2.413884113,1.228173784,3.060635201,1.139980454,3.936035664,1.280436498,3.981765539,1.35229773,3.994831218,1.414359703,3.985031959,1.479688096,3.896838628,1.558082167,3.726984807,1.659341176,3.485269754,1.750800926,3.076967299,1.822662158,2.410617693,1.486220935,2.769923853,1.482954516,2.766657434,1.417626123,2.962642612,1.450290319,2.952843353,1.371896248,2.949576933,1.286969337,3.197824826,1.26083798,3.321948772,1.528684391
RMO 716,1.793264381,1.329432793,2.407351273,1.241239463,3.24682112,1.345764891,3.289284576,1.424158962,3.318682352,1.486220935,3.289284576,1.551549328,3.233755442,1.616877721,3.057368781,1.71813673,2.841785085,1.793264381,2.472679666,1.865125613,1.855326355,1.590746364,2.191767577,1.558082167,2.188501158,1.502553034,2.3452893,1.522151551,2.3452893,1.450290319,2.34855572,1.378429087,2.583737934,1.35883057,2.70786188,1.590746364
