Id	Biome	State	Locality	Family	Temp_let	Sex	Centroid Size	Log Centroid Size
ARS 335	Amazon	Amazonas	ARS	1	C	M	2.296138378491625	0.8312287460190795
ARS 343	Amazon	Amazonas	ARS	9	A	F	2.6083598784650244	0.9587216247536151
ARS 351	Amazon	Amazonas	ARS	9	B	M	2.4213066164106576	0.8843073185986384
ARS 353	Amazon	Amazonas	ARS	9	B	F	2.5659648868332257	0.9423345820909423
ARS 356	Amazon	Amazonas	ARS	9	B	M	2.3752794567488373	0.8651150965640143
ARS 362	Amazon	Amazonas	ARS	9	B	F	2.0938320320806962	0.738995895324971
ARS 364	Amazon	Amazonas	ARS	9	B	M	2.1668899826985606	0.7732929518600409
ARS 369	Amazon	Amazonas	ARS	9	C	F	2.393461915793702	0.8727408182108655
ARS 371	Amazon	Amazonas	ARS	9	C	M	2.283309232856382	0.825625808596911
ARS 372	Amazon	Amazonas	ARS	9	C	F	2.3193900061751225	0.8413042227337019
ARS 373	Amazon	Amazonas	ARS	9	C	F	2.243321477639535	0.8079575701184853
ARS 378	Amazon	Amazonas	ARS	9	C	F	2.1645367329821075	0.7722063584106026
ARS 379	Amazon	Amazonas	ARS	9	C	M	2.6382855446436797	0.9701292912893273
ARS 384	Amazon	Amazonas	ARS	6	A	M	2.429220495095606	0.8875704219790191
ARS 390	Amazon	Amazonas	ARS	6	A	M	2.6308867068632176	0.9673209402656423
ARS 391	Amazon	Amazonas	ARS	6	A	F	2.659396114523787	0.9780990724045011
ARS 393	Amazon	Amazonas	ARS	6	A	F	2.4779740791738565	0.9074413227704231
ARS 400	Amazon	Amazonas	ARS	6	B	M	2.331076712433801	0.8463302691791192
ARS 404	Amazon	Amazonas	ARS	6	B	F	2.4454164782552295	0.894215447175532
ARS 413	Amazon	Amazonas	ARS	6	C	M	2.089093775679145	0.7367303717914715
ARS 416	Amazon	Amazonas	ARS	6	C	M	2.3062239916921765	0.8356115514280654
ARS 417	Amazon	Amazonas	ARS	6	C	F	2.3607068551281287	0.8589610890766903
ARS 421	Amazon	Amazonas	ARS	6	C	M	2.2103669922664766	0.7931585615923353
ARS 422	Amazon	Amazonas	ARS	6	C	M	2.2271747489059845	0.8007338534976007
ARS 434	Amazon	Amazonas	ARS	13	A	M	2.4964434672911535	0.9148671059158906
ARS 436	Amazon	Amazonas	ARS	13	A	M	2.4924177889959633	0.913253238958224
ARS 438	Amazon	Amazonas	ARS	13	A	F	2.528048544783131	0.9274476789416672
ARS 449	Amazon	Amazonas	ARS	13	B	F	2.533688159725828	0.9296760118659314
ARS 454	Amazon	Amazonas	ARS	13	B	F	2.553527599717473	0.9374757756304556
ARS 456	Amazon	Amazonas	ARS	13	C	M	2.1858962219750673	0.7820259146910411
ARS 459	Amazon	Amazonas	ARS	13	C	F	2.181522345611432	0.7800229567614435
ARS 462	Amazon	Amazonas	ARS	13	C	F	2.302824686332204	0.8341364938993702
ARS 470	Amazon	Amazonas	ARS	13	C	F	2.328776364216215	0.8453429640574309
ARS 516	Amazon	Amazonas	ARS	8	A	M	2.4487999925871398	0.8955981056219258
ARS 521	Amazon	Amazonas	ARS	8	A	M	2.449920340590112	0.8960555099831904
ARS 523	Amazon	Amazonas	ARS	8	A	F	2.5768940041045116	0.9465847993165479
ARS 524	Amazon	Amazonas	ARS	8	A	F	2.499730765038061	0.9161830320899659
ARS 525	Amazon	Amazonas	ARS	8	A	F	2.771023355059457	1.0192166942319907
ARS 531	Amazon	Amazonas	ARS	8	B	F	2.4914269477682414	0.9128556177267809
ARS 533	Amazon	Amazonas	ARS	8	B	F	2.598788156899542	0.9550452428719212
ARS 537	Amazon	Amazonas	ARS	8	B	F	2.4895630130355193	0.9121071983023719
