"","ID","Biome","State","Latitude","Lat_group","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time","Lat_grouple","growth"
"1899","TLC 185","Cerrado","Tocantins",-10.7,"2","TLC",75,"C","28","M",1,2.49,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,1,18,"Mid latitude",0.0536636888515657
"1900","TLC 186","Cerrado","Tocantins",-10.7,"2","TLC",75,"C","28","M",1,2.48,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0478030821145732
"1901","TLC 187","Cerrado","Tocantins",-10.7,"2","TLC",75,"C","28","M",1,2.64,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,1,21,"Mid latitude",0.0510936272188539
"1902","TLC 188","Cerrado","Tocantins",-10.7,"2","TLC",75,"C","28","M",1,2.718,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0526261218804712
"1903","TLC 189","Cerrado","Tocantins",-10.7,"2","TLC",75,"C","28","M",1,2.587,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0500262580633627
"1904","TLC 190","Cerrado","Tocantins",-10.7,"2","TLC",75,"C","28","M",1,2.66,20,NA,NA,21,NA,1,0.047619048,0.05,1,1,NA,1,21,"Mid latitude",0.0489163061396804
"1908","TLC 194","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","M",1,2.487,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0455538582410634
"1909","TLC 195","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","F",0,2.896,23,NA,NA,25,NA,1,0.04,0.043478261,2,0.5,NA,4,25,"Mid latitude",0.04623175976189
"1910","TLC 196","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","M",1,2.515,24,NA,NA,26,NA,1,0.038461538,0.041666667,2,0.5,NA,3,26,"Mid latitude",0.0384280334813209
"1911","TLC 197","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","F",0,2.56,24,NA,NA,26,NA,1,0.038461538,0.041666667,2,0.5,NA,4,26,"Mid latitude",0.0391669691038113
"1912","TLC 198","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","F",0,2.678,24,NA,NA,27,NA,1,0.037037037,0.041666667,3,0.333333333,NA,4,27,"Mid latitude",0.0410445936362075
"1918","TLC 204","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","M",1,2.739,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,4,22,"Mid latitude",0.050379644514047
"1919","TLC 205","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","M",1,2.682,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,3,25,"Mid latitude",0.0448437629481585
"1920","TLC 206","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","M",1,2.768,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,3,26,"Mid latitude",0.0442663059893662
"1921","TLC 207","Cerrado","Tocantins",-10.7,"2","TLC",76,"A","20","F",0,2.644,24,NA,NA,26,NA,1,0.038461538,0.041666667,2,0.5,NA,4,26,"Mid latitude",0.0405122050828933
"1923","TLC 209","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","M",1,2.779,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0567828417089093
"1924","TLC 210","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","F",0,2.696,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0550982885027811
"1925","TLC 211","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","F",0,NA,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,2,21,"Mid latitude",NA
"1927","TLC 214","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","M",1,2.676,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0546846190147768
"1928","TLC 215","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","F",0,2.48,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,2,21,"Mid latitude",0.0478030821145732
"1929","TLC 216","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","F",0,NA,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,0,22,"Mid latitude",NA
"1930","TLC 217","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","F",0,2.759,21,NA,NA,23,NA,1,0.043478261,0.047619048,2,0.5,NA,3,23,"Mid latitude",0.0483270616778642
"1931","TLC 218","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","F",0,2.62,23,NA,NA,24,NA,1,0.041666667,0.043478261,1,1,NA,3,24,"Mid latitude",0.0418771442510002
"1932","TLC 219","Cerrado","Tocantins",-10.7,"2","TLC",76,"B","24","M",1,2.827,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,2,22,"Mid latitude",0.0519608039355727
"1937","TLC 224","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","M",1,2.528,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.0545546162520359
"1938","TLC 225","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","M",1,2.673,20,NA,NA,21,NA,1,0.047619048,0.05,1,1,NA,2,21,"Mid latitude",0.0491600718578391
"1939","TLC 226","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","F",0,2.689,21,NA,NA,22,NA,1,0.045454545,0.047619048,1,1,NA,2,22,"Mid latitude",0.0471033036803204
"1942","TLC 229","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","F",0,2.399,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,2,16,"Mid latitude",0.0583367989238372
"1943","TLC 230","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","M",1,2.603,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,2,16,"Mid latitude",0.0637776417341619
"1944","TLC 231","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","F",0,2.464,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0474624234563828
"1947","TLC 234","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","F",0,2.449,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,1,17,"Mid latitude",0.059711985198002
"1949","TLC 236","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","F",0,2.478,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0477606201687869
"1950","TLC 237","Cerrado","Tocantins",-10.7,"2","TLC",76,"C","28","F",0,2.507,20,NA,NA,21,NA,1,0.047619048,0.05,1,1,NA,2,21,"Mid latitude",0.0459543409588078
"1952","TLC 239","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","M",1,2.68,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,2,20,"Mid latitude",0.0579892232072215
"1953","TLC 240","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","F",0,2.631,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,4,21,"Mid latitude",0.0537424445587864
"1954","TLC 241","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","M",1,2.664,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0544349307043413
"1955","TLC 242","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","M",1,2.924,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,2,23,"Mid latitude",0.0536476270943766
"1956","TLC 243","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","M",1,2.89,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,3,24,"Mid latitude",0.0505360239106829
"1957","TLC 244","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","F",0,2.544,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,4,21,"Mid latitude",0.0491440866040987
"1958","TLC 245","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","M",1,2.594,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,3,21,"Mid latitude",0.0501684782049606
"1960","TLC 247","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","F",0,2.526,22,NA,NA,23,NA,1,0.043478261,0.045454545,1,1,NA,2,23,"Mid latitude",0.0421198647240136
"1961","TLC 248","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","F",0,2.917,25,NA,NA,27,NA,1,0.037037037,0.04,2,0.5,NA,5,27,"Mid latitude",0.0428222276354234
"1962","TLC 249","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","F",0,2.572,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,2,22,"Mid latitude",0.0497202003355459
"1963","TLC 250","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","F",0,2.525,23,NA,NA,25,NA,1,0.04,0.043478261,2,0.5,NA,4,25,"Mid latitude",0.0402713505533619
"1964","TLC 251","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","F",0,2.685,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,3,26,"Mid latitude",0.042942640346123
"1965","TLC 252","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","F",0,2.648,24,NA,NA,26,NA,1,0.038461538,0.041666667,2,0.5,NA,4,26,"Mid latitude",0.0405751932531151
"1966","TLC 253","Cerrado","Tocantins",-10.7,"2","TLC",82,"A","20","M",1,2.794,24,NA,NA,27,NA,1,0.037037037,0.041666667,3,0.333333333,NA,4,27,"Mid latitude",0.0428114275347821
"1967","TLC 254","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","M",1,2.702,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0584701317375298
"1968","TLC 255","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","M",1,2.593,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.052934194808696
"1969","TLC 256","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","F",0,2.599,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,2,21,"Mid latitude",0.0502698292452291
"1970","TLC 257","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","M",1,2.609,20,NA,NA,21,NA,1,0.047619048,0.05,1,1,NA,2,21,"Mid latitude",0.0479483503077296
"1972","TLC 259","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","M",1,NA,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,2,19,"Mid latitude",NA
"1973","TLC 260","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","M",1,2.536,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0516993353652766
"1974","TLC 261","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","F",0,2.526,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,3,20,"Mid latitude",0.0487703696804368
"1975","TLC 262","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","M",1,2.847,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,2,22,"Mid latitude",0.052313290414795
"1977","TLC 264","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","F",0,2.395,21,NA,NA,22,NA,1,0.045454545,0.047619048,1,1,NA,2,22,"Mid latitude",0.0415896776601371
"1978","TLC 265","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","F",0,2.402,21,NA,NA,22,NA,1,0.045454545,0.047619048,1,1,NA,3,22,"Mid latitude",0.0417286535075139
"1979","TLC 266","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","F",0,2.533,22,NA,NA,24,NA,1,0.041666667,0.045454545,2,0.5,NA,2,24,"Mid latitude",0.0422456532281608
"1980","TLC 267","Cerrado","Tocantins",-10.7,"2","TLC",82,"B","24","F",0,2.617,23,NA,NA,24,NA,1,0.041666667,0.043478261,1,1,NA,2,24,"Mid latitude",0.0418273314586091
"1984","TLC 271","Cerrado","Tocantins",-10.7,"2","TLC",82,"C","28","F",0,2.699,22,NA,NA,23,NA,1,0.043478261,0.045454545,1,1,NA,2,23,"Mid latitude",0.0451309697289031
"1988","TLC 275","Cerrado","Tocantins",-10.7,"2","TLC",82,"C","28","M",1,2.305,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0463933709138118
"1989","TLC 276","Cerrado","Tocantins",-10.7,"2","TLC",82,"C","28","F",0,2.512,22,NA,NA,23,NA,1,0.043478261,0.045454545,1,1,NA,2,23,"Mid latitude",0.0418672385729978
"1992","TLC 279","Cerrado","Tocantins",-10.7,"2","TLC",82,"C","28","M",1,2.305,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,2,14,"Mid latitude",0.0642369751114317
"1993","TLC 280","Cerrado","Tocantins",-10.7,"2","TLC",82,"C","28","M",1,2.477,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,2,15,"Mid latitude",0.0647891536076587
"1994","TLC 281","Cerrado","Tocantins",-10.7,"2","TLC",82,"C","28","M",1,2.475,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0566400247512909
"1995","TLC 282","Cerrado","Tocantins",-10.7,"2","TLC",82,"C","28","F",0,2.544,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0491440866040987
"1996","TLC 283","Cerrado","Tocantins",-10.7,"2","TLC",82,"C","28","F",0,2.595,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0501887640325185
"1997","TLC 284","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","M",1,3.104,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,3,21,"Mid latitude",0.062927311240054
"1998","TLC 285","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","F",0,2.767,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,3,22,"Mid latitude",0.0535665105686731
"1999","TLC 286","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","F",0,2.82,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,3,22,"Mid latitude",0.0545650992078959
"2002","TLC 289","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","F",0,2.825,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,3,22,"Mid latitude",0.0546583349788634
"2003","TLC 290","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","M",1,2.834,23,NA,NA,25,NA,1,0.04,0.043478261,2,0.5,NA,4,25,"Mid latitude",0.0452908322290647
"2007","TLC 294","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","M",1,2.884,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,3,24,"Mid latitude",0.0504370580677477
"2008","TLC 295","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","M",1,2.868,22,NA,NA,24,NA,1,0.041666667,0.045454545,2,0.5,NA,5,24,"Mid latitude",0.0478915873971534
"2009","TLC 296","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","M",1,2.865,25,NA,NA,28,NA,1,0.035714286,0.04,3,0.333333333,NA,4,28,"Mid latitude",0.0421027340066681
"2010","TLC 297","Cerrado","Tocantins",-10.7,"2","TLC",79,"A","20","F",0,2.917,26,NA,NA,29,NA,1,0.034482759,0.038461538,3,0.333333333,NA,4,29,"Mid latitude",0.0411752188802148
"2012","TLC 299","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","M",1,2.732,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,2,19,"Mid latitude",0.0591196436299143
"2013","TLC 300","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","M",1,2.707,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,2,21,"Mid latitude",0.0524126847701139
"2014","TLC 301","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","M",1,2.656,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,2,21,"Mid latitude",0.0514116437691678
"2015","TLC 302","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","F",0,2.729,21,NA,NA,23,NA,1,0.043478261,0.047619048,2,0.5,NA,2,23,"Mid latitude",0.0478064400822001
"2017","TLC 304","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","M",1,2.703,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0584918980761359
"2018","TLC 305","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","F",0,2.763,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0564620581078489
"2019","TLC 306","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","F",0,2.675,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.0491974690173985
"2020","TLC 307","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","F",0,2.698,21,NA,NA,23,NA,1,0.043478261,0.047619048,2,0.5,NA,3,23,"Mid latitude",0.0472624170374078
"2021","TLC 308","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","F",0,2.873,22,NA,NA,24,NA,1,0.041666667,0.045454545,2,0.5,NA,3,24,"Mid latitude",0.0479707627271433
"2022","TLC 309","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","M",1,2.862,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0657200425708912
"2023","TLC 310","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","F",0,2.766,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0598471901907392
"2024","TLC 311","Cerrado","Tocantins",-10.7,"2","TLC",79,"B","24","M",1,3.004,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0611080407723271
"2027","TLC 314","Cerrado","Tocantins",-10.7,"2","TLC",79,"C","28","M",1,2.684,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,2,14,"Mid latitude",0.0759467860853412
"2028","TLC 315","Cerrado","Tocantins",-10.7,"2","TLC",79,"C","28","F",0,2.502,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,3,18,"Mid latitude",0.05394649482616
"2029","TLC 316","Cerrado","Tocantins",-10.7,"2","TLC",79,"C","28","M",1,2.651,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0541631626281605
"2031","TLC 318","Cerrado","Tocantins",-10.7,"2","TLC",79,"C","28","M",1,2.711,20,NA,NA,21,NA,1,0.047619048,0.05,1,1,NA,2,21,"Mid latitude",0.0498658785258264
"2037","TLC 324","Cerrado","Tocantins",-10.7,"2","TLC",79,"C","28","M",1,2.495,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0571430455752176
"2038","TLC 325","Cerrado","Tocantins",-10.7,"2","TLC",79,"C","28","M",1,NA,20,NA,NA,21,NA,1,0.047619048,0.05,1,1,NA,0,21,"Mid latitude",NA
"2039","TLC 326","Cerrado","Tocantins",-10.7,"2","TLC",79,"C","28","F",0,2.389,21,NA,NA,22,NA,1,0.045454545,0.047619048,1,1,NA,2,22,"Mid latitude",0.0414702318258892
"2040","TLC 327","Cerrado","Tocantins",-10.7,"2","TLC",79,"C","28","M",1,2.583,23,NA,NA,24,NA,1,0.041666667,0.043478261,1,1,NA,2,24,"Mid latitude",0.0412587614832045
"2042","TLC 329","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","F",0,2.898,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,4,18,"Mid latitude",0.0665013027436557
"2043","TLC 330","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","M",1,2.845,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,3,22,"Mid latitude",0.0550296351356997
"2044","TLC 331","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","M",1,2.907,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,3,22,"Mid latitude",0.0561642958724599
"2045","TLC 332","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","F",0,2.733,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.0502699953472966
"2046","TLC 333","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","M",1,2.884,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,3,23,"Mid latitude",0.0529589109711351
"2047","TLC 334","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","M",1,2.759,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,3,20,"Mid latitude",0.0596981350138323
"2048","TLC 335","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","F",0,2.713,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,3,21,"Mid latitude",0.055447501870933
"2049","TLC 336","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","F",0,NA,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,4,21,"Mid latitude",NA
"2050","TLC 337","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","M",1,3.02,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0552628415693389
"2051","TLC 338","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","M",1,3.059,22,NA,NA,24,NA,1,0.041666667,0.045454545,2,0.5,NA,4,24,"Mid latitude",0.0508221847803985
"2052","TLC 339","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","F",0,2.711,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,3,21,"Mid latitude",0.0524903984482383
"2053","TLC 340","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","F",0,2.742,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,3,22,"Mid latitude",0.0530888200600065
"2054","TLC 341","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","M",1,2.663,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.0489726653415898
"2055","TLC 342","Cerrado","Tocantins",-10.7,"2","TLC",83,"A","20","F",0,2.933,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,4,26,"Mid latitude",0.0467837299997963
"2057","TLC 344","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","F",0,2.708,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,2,19,"Mid latitude",0.0586006091205899
"2058","TLC 345","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","F",0,2.693,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.0495327906914731
"2059","TLC 346","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","M",1,2.837,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,2,22,"Mid latitude",0.0521373577913357
"2060","TLC 347","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","F",0,2.744,21,NA,NA,23,NA,1,0.043478261,0.047619048,2,0.5,NA,2,23,"Mid latitude",0.048067462374459
"2061","TLC 348","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","M",1,2.891,22,NA,NA,24,NA,1,0.041666667,0.045454545,2,0.5,NA,3,24,"Mid latitude",0.0482546574106459
"2062","TLC 349","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","F",0,2.678,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,2,19,"Mid latitude",0.0579453086628812
"2063","TLC 350","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","M",1,2.606,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,1,22,"Mid latitude",0.0478908239351327
"2064","TLC 351","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","F",0,2.601,22,NA,NA,24,NA,1,0.041666667,0.045454545,2,0.5,NA,2,24,"Mid latitude",0.0434498175666597
"2065","TLC 352","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","F",0,2.72,25,NA,NA,27,NA,1,0.037037037,0.04,2,0.5,NA,2,27,"Mid latitude",0.0400252752123162
"2067","TLC 354","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","M",1,2.608,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,1,18,"Mid latitude",0.0599114777540254
"2068","TLC 355","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","M",1,2.786,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0569226041865341
"2069","TLC 356","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","M",1,2.683,20,NA,NA,21,NA,1,0.047619048,0.05,1,1,NA,3,21,"Mid latitude",0.0493467785721744
"2070","TLC 357","Cerrado","Tocantins",-10.7,"2","TLC",83,"B","24","M",1,2.684,22,NA,NA,23,NA,1,0.043478261,0.045454545,1,1,NA,2,23,"Mid latitude",0.0448776463231562
"2072","TLC 359","Cerrado","Tocantins",-10.7,"2","TLC",83,"C","28","M",1,2.532,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,2,14,"Mid latitude",0.0714622695601484
"2073","TLC 360","Cerrado","Tocantins",-10.7,"2","TLC",83,"C","28","M",1,2.375,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,2,15,"Mid latitude",0.0617855312490432
"2075","TLC 362","Cerrado","Tocantins",-10.7,"2","TLC",83,"C","28","M",1,2.741,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.0593131069012146
"2077","TLC 364","Cerrado","Tocantins",-10.7,"2","TLC",83,"C","28","M",1,2.603,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,2,16,"Mid latitude",0.0637776417341619
"2078","TLC 365","Cerrado","Tocantins",-10.7,"2","TLC",83,"C","28","F",0,2.463,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0563362574461501
"2079","TLC 366","Cerrado","Tocantins",-10.7,"2","TLC",83,"C","28","M",1,2.602,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.0562517870641361
"2080","TLC 367","Cerrado","Tocantins",-10.7,"2","TLC",83,"C","28","M",1,2.627,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,1,20,"Mid latitude",0.0508338163528107
"2082","TLC 369","Cerrado","Tocantins",-10.7,"2","TLC",83,"C","28","M",1,2.471,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,1,19,"Mid latitude",0.0532131133533219
"2087","TLC 374","Cerrado","Tocantins",-10.7,"2","TLC",77,"A","20","M",1,2.853,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,3,22,"Mid latitude",0.0551774248542823
