"","ID","Biome","State","Latitude","Lat_group","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time","Lat_grouple","growth"
"91","RPV 185","Amazon","Rondonia",-8.742,"2","RPV",25,"A","20","F",0,2.752,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0506163960035549
"92","RPV 186","Amazon","Rondonia",-8.742,"2","RPV",25,"A","20","F",0,2.806,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.0491314276990604
"93","RPV 187","Amazon","Rondonia",-8.742,"2","RPV",25,"A","20","F",0,2.684,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.0470146771004493
"94","RPV 188","Amazon","Rondonia",-8.742,"2","RPV",25,"A","20","F",0,2.775,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,5,25,"Mid latitude",0.0463932157817454
"96","RPV 190","Amazon","Rondonia",-8.742,"2","RPV",25,"A","20","F",0,2.825,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,4,21,"Mid latitude",0.0576949091443558
"97","RPV 191","Amazon","Rondonia",-8.742,"2","RPV",25,"A","20","F",0,2.778,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0510865622166076
"101","RPV 195","Amazon","Rondonia",-8.742,"2","RPV",25,"A","20","F",0,2.765,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,5,21,"Mid latitude",0.0565022574985721
"102","RPV 196","Amazon","Rondonia",-8.742,"2","RPV",25,"A","20","F",0,2.814,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.0492669980329618
"106","RPV 200","Amazon","Rondonia",-8.742,"2","RPV",25,"B","24","F",0,2.6,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0562065555898492
"111","RPV 205","Amazon","Rondonia",-8.742,"2","RPV",25,"B","24","F",0,2.657,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,3,17,"Mid latitude",0.0651465111185118
"116","RPV 210","Amazon","Rondonia",-8.742,"2","RPV",25,"B","24","F",0,2.647,14,NA,NA,16,NA,1,0.0625,0.071428571,2,0.5,NA,3,16,"Mid latitude",0.0695304945174974
"117","RPV 211","Amazon","Rondonia",-8.742,"2","RPV",25,"B","24","F",0,2.647,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0572604072497038
"118","RPV 212","Amazon","Rondonia",-8.742,"2","RPV",25,"B","24","F",0,2.626,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0536367653267002
"119","RPV 213","Amazon","Rondonia",-8.742,"2","RPV",25,"B","24","F",0,2.498,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,3,21,"Mid latitude",0.0481837058791256
"126","RPV 220","Amazon","Rondonia",-8.742,"2","RPV",25,"C","28","F",0,2.373,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,2,16,"Mid latitude",0.0576103318302418
"128","RPV 222","Amazon","Rondonia",-8.742,"2","RPV",25,"C","28","F",0,NA,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,1,17,"Mid latitude",NA
"136","RPV 230","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.769,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.0536045391678329
"137","RPV 231","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.867,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0526633093450616
"138","RPV 232","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.762,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.050797752749355
"139","RPV 233","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","F",0,2.762,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,3,24,"Mid latitude",0.0483788121422429
"140","RPV 234","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.96,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,4,25,"Mid latitude",0.0493267849243622
"141","RPV 235","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.908,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,5,22,"Mid latitude",0.0561823978774354
"142","RPV 236","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.787,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,2,22,"Mid latitude",0.0539455657105164
