"","Code","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"21","APR 143",2.009117407,1.871909389,2.669022637,1.626895071,3.671947912,1.532156202,3.730751348,1.584425923,3.760153067,1.639962502,3.750352494,1.715100226,3.668681055,1.816372811,3.524939321,1.940513398,3.309326722,2.074454559,2.90750324,2.267199156,2.094055704,2.159392856,2.515480331,2.041785983,2.486078613,1.960114544,2.695157498,1.924179111,2.682090068,1.849041386,2.659222065,1.77717052,2.917303813,1.679164793,3.080646691,1.907844823,"Amazon","Amazonas",-3.028,"APR",3,"C",3,"M",2.858
"22","APR 144",1.496220768,2.110389992,2.169193429,2.24759801,3.090447264,2.796430083,3.116582125,2.904236382,3.087180407,2.985907822,3.025110113,3.061045546,2.90750324,3.100247837,2.69189064,3.113315267,2.365204883,3.087180407,1.920912253,3.012042682,1.365546466,2.404407174,1.764103089,2.541615192,1.79023795,2.456676895,1.973181974,2.577550625,2.002583692,2.473011183,2.03198541,2.394606601,2.286800301,2.466477468,2.319468877,2.796430083,"Amazon","Amazonas",-3.028,"APR",4,"A",1,"F",2.821
"23","APR 146",1.91111168,1.630161929,2.440342607,1.35901275,3.495537603,1.221804732,3.564141612,1.283875026,3.622945049,1.375347038,3.609877618,1.45375162,3.518405606,1.564824778,3.35179587,1.702032796,3.096980979,1.839240814,2.731092931,2.028718553,2.015651123,1.901311108,2.375005456,1.77717052,2.352137453,1.688965365,2.531814619,1.679164793,2.499146043,1.584425923,2.456676895,1.502754484,2.708224928,1.414549329,2.959772961,1.653029932,"Amazon","Amazonas",-3.028,"APR",4,"A",1,"F",2.646
"24","APR 153",2.231263722,1.581159065,2.953239246,1.486420196,3.939830233,1.610560784,3.995366812,1.679164793,4.018234815,1.751035659,4.0117011,1.835973956,3.887560512,1.930712826,3.691549058,2.03198541,3.394265018,2.107123135,2.989174679,2.201862004,2.263932298,1.904577965,2.698424355,1.858841959,2.69189064,1.79023795,2.884635237,1.80330538,2.884635237,1.728167656,2.868300949,1.649763074,3.142716985,1.626895071,3.322394152,1.89804425,"Amazon","Amazonas",-3.028,"APR",4,"A",2,"M",2.836
"25","APR 157",2.00585055,1.486420196,2.740893504,1.372080181,3.652346767,1.463552193,3.717683918,1.535423059,3.747085636,1.617094499,3.730751348,1.692232223,3.629478764,1.79023795,3.44653474,1.88497682,3.191719849,1.966648259,2.747427219,2.067920844,2.028718553,1.786971092,2.473011183,1.741235086,2.47627804,1.685698508,2.623286631,1.685698508,2.613486058,1.610560784,2.613486058,1.535423059,2.900969525,1.489687053,3.057778688,1.757569374,"Amazon","Amazonas",-3.028,"APR",4,"A",3,"M",2.852
"26","APR 159",2.162659713,1.538689917,2.793163225,1.538689917,3.652346767,1.806572238,3.714417061,1.891510535,3.730751348,1.969915117,3.70134963,2.038519126,3.600077046,2.097322562,3.384464446,2.149592283,3.172118703,2.182260859,2.77356208,2.208395719,2.146325426,1.816372811,2.551415765,1.849041386,2.55794948,1.79023795,2.675556352,1.816372811,2.672289495,1.747768802,2.685356925,1.672631077,2.985907822,1.68243165,3.093714122,1.963381401,"Amazon","Amazonas",-3.028,"APR",4,"B",1,"M",2.646
"27","APR 163",2.00585055,1.597493353,2.554682622,1.688965365,3.341995297,2.090788847,3.387731303,2.172460286,3.384464446,2.237797438,3.358329585,2.299867731,3.240722713,2.339070022,3.047978116,2.368471741,2.780095795,2.361938025,2.410940889,2.299867731,1.891510535,1.845774529,2.276999728,1.940513398,2.299867731,1.881709962,2.417474604,1.943780256,2.440342607,1.878443105,2.469744325,1.813105953,2.734359789,1.878443105,2.776828937,2.143058568,"Amazon","Amazonas",-3.028,"APR",4,"B",1,"M",2.546
"28","APR 172",2.384806028,1.110731575,3.515138749,1.293675599,4.028035388,1.623628214,4.063970821,1.708566511,4.063970821,1.796771665,4.028035388,1.878443105,3.884293654,1.920912253,3.681748485,1.950313971,3.394265018,1.969915117,2.982640964,1.940513398,2.32926945,1.411282472,2.744160361,1.496220768,2.763761507,1.427616759,2.904236382,1.489687053,2.923837528,1.404748756,2.930371243,1.323077317,3.21785471,1.365546466,3.296259291,1.685698508,"Amazon","Amazonas",-3.028,"APR",4,"B",3,"F",2.806
"29","APR 175",1.447217905,1.685698508,2.022184838,1.293675599,2.825831801,1.042127566,2.887902095,1.078062999,2.940171816,1.143400151,2.949972389,1.215271017,2.900969525,1.290408741,2.770295222,1.437417332,2.613486058,1.594226496,2.322735734,1.832707099,1.590959638,1.88497682,1.917645395,1.708566511,1.878443105,1.646496217,2.035252268,1.590959638,1.999316835,1.535423059,1.956847686,1.470085908,2.188794574,1.33287789,2.345603737,1.492953911,"Amazon","Amazonas",-3.028,"APR",4,"C",1,"F",2.402
"30","APR 178",1.849041386,1.23813902,2.482811756,0.947388696,3.270124431,0.810180678,3.33872844,0.855916684,3.381197588,0.908186405,3.390998161,0.970256699,3.309326722,1.071529284,3.181919276,1.179335584,2.979374107,1.310009887,2.682090068,1.492953911,1.943780256,1.463552193,2.32926945,1.313276744,2.306401447,1.257740166,2.433808892,1.23813902,2.414207747,1.185869299,2.375005456,1.113998432,2.649421492,1.006192133,2.825831801,1.176068726,"Amazon","Amazonas",-3.028,"APR",4,"C",1,"M",2.483
