C:/Users/vmc04/Desktop/Wing saga/Lab reared wings for landmarking/18/ARS/ARSFC/coord_Jul27_Format - {Aligned specimens} - 1 20 36 0	from C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSFC/coord_Jul27.txt - TPS like internal (simplified) format - can be converted to other format by using TET	
-0.37649514659317873 -0.088203682534486211 -0.11078698173959452 -0.13741397077940742 0.27181850791152345 -0.085754444119117645 0.29967513489918934 -0.045090018861221146 0.30825622604020914 -0.015120038308949981 0.29695796603041102 0.0182256450802433 0.26314746995253663 0.050605223982759837 0.19942737485280815 0.0901588792720419 0.09319492947335023 0.13493616242007894 -0.073237242686975443 0.17008196598889874 -0.35220102990013319 0.035474613224441266 -0.20661431337730229 0.0262167485606201 -0.20797918615579683 -0.0076723686023289607 -0.13224191554770884 0.0012162930572239352 -0.13642081783471291 -0.032793587166559633 -0.13913232383704494 -0.068150100614180573 -0.023092917153564169 -0.07867597741676513 0.025724265665985357 0.031958656816708904 
-0.36661507314163594 -0.088295046305335828 -0.11338694406115327 -0.13134992537061593 0.286353056826602 -0.079690771274548641 0.30555825016034938 -0.045916703231004781 0.31383270057483192 -0.021871520940772656 0.30316270960227787 0.011690702996402355 0.26030346189836423 0.051127749903070556 0.18559717754281624 0.088209990318173628 0.090402374554554021 0.12237927316870123 -0.091887977934267714 0.16941450410423767 -0.36566170726164143 0.037463468035594492 -0.20334245639902948 0.024634167130174849 -0.20205913110006249 -0.0062269433487931354 -0.12824913101033272 0.003025259464521108 -0.12490839834610111 -0.027750295994515721 -0.12864025893039879 -0.061911405071208528 -0.039401747044643644 -0.076749205501550802 0.018943094069471457 0.031816701917472268 
-0.37486931745296714 -0.079782508955877143 -0.082292400810344404 -0.135034377094989 0.27891553633414773 -0.085163693352327596 0.30517870782612977 -0.047524376185753614 0.31081028074868811 -0.016301986929387578 0.30128335114821497 0.015393489824415775 0.26781789675837536 0.050239759053055472 0.20273620405281548 0.087725285605582223 0.08080051497251034 0.13269394428584558 -0.09594302987874366 0.15443488098842822 -0.35253995029241214 0.043610890270251765 -0.20721571922720156 0.026005368690891928 -0.21245344309040506 -0.0022247049668033233 -0.12402165605345107 0.010489121630958529 -0.12784246055540208 -0.030104063480774445 -0.13335634738636568 -0.071996481862165548 -0.037208399169545853 -0.081607336162840036 0.00020023207595755389 0.029146788641490912 
-0.3728913969034966 -0.076702340875288197 -0.091289679638853871 -0.12735146843341283 0.28873456713110118 -0.074251355750572554 0.30533276427745371 -0.050082797965370358 0.30663222121917155 -0.018893025185458455 0.29858444041011117 0.0148345833829043 0.26468816553586955 0.04841145701387041 0.18296805799839899 0.090671550551043076 0.090698196600381614 0.12575969415610938 -0.071715452660208776 0.16125353245745763 -0.362219486852979 0.036534224674908557 -0.21172677386858257 0.025783305160923232 -0.21508664642854075 -0.0077145590065752249 -0.13051994923828739 0.0080363860102491309 -0.13302192228977366 -0.032863172490220055 -0.13783198672884681 -0.071702315372449033 -0.023260101499967451 -0.082736773392745447 0.011924982937048812 0.031013075064626559 
-0.38422899668702182 -0.086587840290212367 -0.093703178040397128 -0.12835359503335525 0.27938049801188097 -0.069670846702401257 0.29896983639806712 -0.044621067150863399 0.30850861424085579 -0.015952681763621884 0.30412884083659913 0.010484252776833555 0.26548001023055634 0.046127452002817919 0.18276094674727605 0.090395017889126253 0.088188526285105387 0.12131291758887508 -0.07582340679838237 0.16215921064855041 -0.35670634388446854 0.041505482769909063 -0.20390876739478792 0.023880146896842216 -0.2062804488907666 -0.007172932951096455 -0.14055568335918608 -0.0018657353996560805 -0.1401270289478925 -0.032752558668964774 -0.14373262181887728 -0.066689102713490531 -0.029570862970520365 -0.072557222861701395 0.047220066041959177 0.03035910296240785 
-0.37092065182607853 -0.084633825140906754 -0.10310534449752431 -0.13466843081564986 0.27817078621949026 -0.074714828064834704 0.29665266746270291 -0.047570863886063727 0.30817411353550905 -0.017669922258782816 0.29959708643053895 0.019225583101817281 0.26413126263856274 0.048411949521479522 0.20111299421963727 0.085290656177316806 0.095140801996649732 0.12919805512938601 -0.079397742105195762 0.173207839770193 -0.35024305538556111 0.033438405264241668 -0.20841335762718211 0.025575422213503524 -0.20963879897171675 -0.0067932008076098602 -0.13448636380771795 0.0024133456743905095 -0.14003444726765027 -0.03436297529270875 -0.14302979350316189 -0.069573631592920307 -0.033772958989985412 -0.081605943802642592 0.030062801478683284 0.034832364809792786 
-0.36514211847676536 -0.089520808093250401 -0.096066588689072863 -0.13436710142169075 0.2736841576399176 -0.081275156465295428 0.29734942016203297 -0.047361551309506061 0.30838239565766185 -0.017862801075693439 0.30312606492739436 0.016773519044649351 0.26863530279017528 0.050749042097840195 0.19986957801489011 0.093929031046955283 0.096022535551262667 0.136316063515488 -0.061878514804290956 0.16474921482322935 -0.34345924715610598 0.032096091283394114 -0.21594694217036312 0.023622663970651131 -0.21666965713491629 -0.005298929281731782 -0.14047945673570358 0.0036495414059592316 -0.14044433597768893 -0.028351914064403308 -0.14335691802422362 -0.066958091538724035 -0.04035135136888654 -0.087341090913400685 0.0167256757946838 0.036452276975531855 
-0.3736000960565648 -0.077920374409358562 -0.10131066885124483 -0.13388566585420214 0.28434725320166437 -0.076180770579992618 0.30073400421910029 -0.04765257842998178 0.3078913700301063 -0.015512123127345033 0.30382000004925053 0.013592971892148238 0.25947645143553943 0.050628308759121395 0.18951125828221527 0.091466373629965986 0.098701506112362225 0.12881547970518339 -0.069034831854828685 0.16253579768053519 -0.35626102078290245 0.03256911440656559 -0.2135694244858419 0.023109645433376826 -0.2153056414100355 -0.0095460605602427084 -0.1335403179111142 0.0018280128516044091 -0.1325659603919016 -0.031085318487506536 -0.13443098998884084 -0.065096311702829188 -0.033042073706601283 -0.077467836602162402 0.018179182109637988 0.029801335395119314 
-0.3729841184141553 -0.075813932709471843 -0.097887818062039819 -0.12474955710626053 0.29627580394415021 -0.065112040565836582 0.30596015419593003 -0.03757119392402735 0.31379804246938997 -0.0077877946613991288 0.2997125115524944 0.012975327460299712 0.26373153630408419 0.04205047001445187 0.19796716179304591 0.078963500842063952 0.096958043600913715 0.11846510827534051 -0.074066429794411942 0.15525591398883271 -0.35595810384672155 0.036039832803096562 -0.21030996598888038 0.022756808849956321 -0.21123613850805437 -0.0081088459648342021 -0.12689524477845443 0.0018817872928944919 -0.13035404418561147 -0.029564016056224288 -0.13449900850243174 -0.063832520560490422 -0.061108778468603332 -0.081672808211734962 0.00089639668935701845 0.0258239602333433 
-0.38167841268817271 -0.079393665864852331 -0.099542539548764616 -0.1282118574946049 0.2768301568567666 -0.075161435625599418 0.29741198499804378 -0.047370787302486554 0.30807280092996375 -0.0096269063966171083 0.30945037719265756 0.022832212072275086 0.26378472269355563 0.050730261640053613 0.19825556352680676 0.085285279845269804 0.094301790416191369 0.11924011594598814 -0.077882593764227473 0.15595547463432757 -0.36757634113063481 0.037841824147238495 -0.20528611884840656 0.027641568701750718 -0.20600444232203657 -0.0068060482587995862 -0.12185510319450216 0.0023321997301279439 -0.12852818201863975 -0.027468427333575966 -0.13322887253781912 -0.066546924004272853 -0.035872997380075329 -0.083929149320430038 0.0093482068192941824 0.022656264884207314 
