C:/Users/vmc04/Desktop/Wing saga/Lab reared wings for landmarking/18/ARS/ARSFA/coord_Jul27_Format - {Aligned specimens} - 1 20 36 0	from C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSFA/coord_Jul27.txt - TPS like internal (simplified) format - can be converted to other format by using TET	
-0.36059285974834965 -0.10389243819067624 -0.089917597927661116 -0.13307607081298245 0.29204716247130924 -0.058234960813011653 0.30719020172166428 -0.036487944787999042 0.31190053922445093 -0.00091364246149301675 0.29984980967461239 0.028582693999208583 0.26168399652609375 0.055382317456127025 0.19012791483790273 0.095812154542901193 0.077984918467010639 0.13236139124260821 -0.091506059639207452 0.15895206168944351 -0.35493425125616929 0.018723255003495014 -0.20533519362534544 0.013366921364722974 -0.20623013784712474 -0.014050583490915307 -0.13963334174751407 -0.0034474724555165043 -0.13998894336853673 -0.036087994030890885 -0.14709371902169827 -0.072530577195369095 -0.018386728269818863 -0.080044281237167822 0.012834289528381391 0.035585170177516064 
-0.36308833138502772 -0.10596168945151906 -0.089690097650305986 -0.13639406113965821 0.28569315270509471 -0.065289633363212765 0.30912013629831442 -0.033268402443781285 0.30758178723120538 -0.0016999394393034846 0.2967719351149784 0.027561758424321001 0.25602161249260141 0.064421007433411545 0.1917983468716804 0.10602863110094195 0.079951181070956931 0.13745921588944701 -0.075494725379359653 0.16120033072183737 -0.3546786801399226 0.02374970980491509 -0.20805226728358023 0.010817688628941641 -0.20904668808489665 -0.018037200725053222 -0.14025661004740328 -0.0033370334553497623 -0.13623069205738358 -0.038930655990037387 -0.13876270346599889 -0.074298273797153189 -0.039443784170858594 -0.088226232694062781 0.027806427879905986 0.034204780495315848 
-0.36715666870850894 -0.10191668970382627 -0.095031052805169325 -0.13616092801188917 0.27791207126161038 -0.069436695080070637 0.30326295052495422 -0.032015207524553668 0.30810896869523352 -0.00084150078106349168 0.29563397551433429 0.03373881659183009 0.26561521009473965 0.064059124684379104 0.19030614476551677 0.10585704820480589 0.093032242359199435 0.13398390033412924 -0.075208442323378866 0.16064728449224214 -0.36381525539574916 0.013082608942395492 -0.20875898344293062 0.010858492054402773 -0.20620227947728764 -0.01534578585988219 -0.13278163545115579 -0.0079395717367796471 -0.13417990610572283 -0.034651076755562185 -0.13429982477746855 -0.07446472073148723 -0.034126538846245252 -0.081315586889422392 0.017689024118028845 0.031860487770351935 
-0.37397874652147972 -0.10146319002289533 -0.077724302980412496 -0.13876889535068604 0.28800206495282749 -0.057699083975402916 0.30583575857801742 -0.031216883595395574 0.31149681711482979 0.0025151453353416319 0.29894931598997931 0.031632043137034729 0.2611839114334687 0.063400436017381115 0.18818169621714101 0.09657282468500139 0.082079600544249759 0.1278151726161661 -0.071090670154297153 0.15617085827113125 -0.36617544019822806 0.020660142137502911 -0.19971941637566523 0.016342051250689098 -0.19931095502525681 -0.015851600637033329 -0.13222176320025555 -0.0053066484596953059 -0.13514733837357673 -0.039637230550670775 -0.14111607231899215 -0.072155355503963833 -0.049972488068872174 -0.08005944776902113 0.010728028386523933 0.027049662414516774 
-0.36665054170377609 -0.10353047714747197 -0.092072847161839583 -0.13052479634440611 0.27855816893322966 -0.058301483187112396 0.29999820530605165 -0.028333555359633177 0.30815183554032011 -0.0084930580743519963 0.29744429567936109 0.03058020292417505 0.26728299807896155 0.060615857583655106 0.1976340756809204 0.098363154425014657 0.080261025491145138 0.12766543257154009 -0.083691079780664202 0.15223415268507329 -0.35336680316759267 0.015939348688781999 -0.21321527412237545 0.011720840744919971 -0.21495293447628794 -0.02026098996921508 -0.14526390949951998 -0.0051790073678303315 -0.14446280615456444 -0.040789425983984461 -0.14500014529222877 -0.071515686975322679 -0.017238567955334304 -0.071098655573837793 0.046584304604194167 0.040908146360005747 
-0.36103972996544098 -0.10404166048042986 -0.10956276279055395 -0.13629383244371987 0.28639960655330576 -0.058647868175178322 0.30348420341813626 -0.032917335080975108 0.31127760935314985 0.0050601451345481116 0.30041485598015083 0.031721671555229466 0.26539313195613023 0.06105321554138031 0.19441869058161132 0.091768953275851814 0.075554915844099999 0.12389347724143673 -0.089030560078362658 0.14970715895149994 -0.35626648650282716 0.022448058396285876 -0.21726867436155126 0.012408557251111488 -0.21515022714909585 -0.019184303260511574 -0.13214079983091148 -0.0021781694277999255 -0.13512114850520707 -0.03565292349143117 -0.13693395019257745 -0.067674391942103729 -0.018306729115513464 -0.07330485128281683 0.0338780548054574 0.031834098237623176 
-0.35638745370979114 -0.10530416205736681 -0.088919895237598315 -0.13716880595748113 0.27715966338221598 -0.062838624521696154 0.29824010886266206 -0.030284234625054036 0.3024130936085514 0.00055188990367126842 0.30413803154982955 0.034101436304896808 0.26668754804396494 0.060608725530343951 0.18983277619323494 0.10078597605543115 0.099543582513948126 0.13130372689601758 -0.065918625818318186 0.15921758037460376 -0.3515741943176241 0.013475961283172676 -0.2196913679833889 0.01187036572911704 -0.22005959498841673 -0.020455157269802859 -0.14184143962807574 -0.0089513772568017968 -0.14852881494554843 -0.03836444708230461 -0.15005472158590971 -0.068042891975696435 -0.02773521557239772 -0.079507018515169822 0.032696519632663942 0.03900105718411967 
-0.36626644736810854 -0.10258755990757282 -0.10219892841845632 -0.13245137619381619 0.27475994493054651 -0.064907432332159593 0.29630602823277169 -0.032838042492770912 0.30674093941125402 0.0014858106930812343 0.30215965376182563 0.033072157000140566 0.26867320612980777 0.064739075611486632 0.20072601045332877 0.097613798200350779 0.083301869904478035 0.12895881788794047 -0.097294963258491574 0.15114126627667354 -0.35591993154830753 0.019675619605745289 -0.21162762520043493 0.015271124673679349 -0.21316554144949387 -0.017965782991084322 -0.13563687655054621 -0.0036180240540399384 -0.13651456825652344 -0.039302612478198509 -0.13960643715682083 -0.071645792034805547 -0.0096701030937772214 -0.081235474605058949 0.035233769476950831 0.034594427140410264 
-0.3668356363686579 -0.10099124103868408 -0.08261566306588905 -0.13884376280874683 0.27695821587525815 -0.057832321433439582 0.29572526709970043 -0.0320358056449737 0.30679621869869433 0.0017425105095507612 0.30218927030618115 0.035806527404685623 0.26349449662348268 0.063957104241348775 0.20261317301453349 0.093818915459835686 0.09203754930904437 0.1219724623583377 -0.090490349604387954 0.14620950432080243 -0.35549982236226535 0.019039333464178614 -0.21057448102103068 0.01117063494969611 -0.21366363225396587 -0.014911581579380179 -0.14684209012965491 -0.0056738763993033408 -0.14743730000592675 -0.038336168048276026 -0.14924376796795397 -0.065748684638362045 -0.020020135013277089 -0.074638174078192898 0.043408686866115452 0.035294622960922756 
-0.37250737399677031 -0.097768495595078844 -0.087848813368526277 -0.13462066023578886 0.2789495672682058 -0.059741214277439718 0.29828514253202099 -0.032966120094294005 0.30711729905288931 -0.00011098467623902248 0.30186868325173394 0.036529360679330887 0.26814673826887364 0.063061214372986854 0.18970057429995393 0.093918704536097769 0.085304554441005834 0.12405488458531028 -0.08401806923262202 0.14944130409361986 -0.36817555038667898 0.014156372867211296 -0.20786596681587743 0.012508120494910943 -0.207165442337823 -0.014620329497580116 -0.13977772213899781 -0.0040191697160502013 -0.13924348274769413 -0.04057637252824469 -0.13738514980302069 -0.068904202259042563 -0.023103093135804536 -0.073277597140821618 0.037718104849131781 0.03293518439111217 
