C:/Users/vmc04/Desktop/Wing saga/Lab reared wings for landmarking/18/APR/APRMC/coord_Jul26_Format - {Aligned specimens} - 1 23 36 0	from C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/APR/APRMC/coord_Jul26.txt - TPS like internal (simplified) format - can be converted to other format by using TET	
-0.38202071309865371 -0.087480631823310187 -0.10797662936630303 -0.12322675574648788 0.27902172729987246 -0.072709021833493134 0.30094539008309318 -0.045066395981751502 0.31286051665320791 -0.0093215478520027057 0.30189889789383589 0.024517007605870455 0.26853711760455801 0.053113077478683823 0.20133684564707791 0.085045489107248282 0.085523537706692396 0.12365049919441995 -0.075090093293504981 0.15177053811147176 -0.37248820784130932 0.031668996609602748 -0.19042756164714353 0.020229815942354224 -0.18756810137610658 -0.0093193152135015028 -0.13323580463954571 0.0011656134301706006 -0.13609554133249249 -0.031243084312841223 -0.13704887903744459 -0.062698593193467447 -0.038869618209247628 -0.077950189098676403 0.010697116953415213 0.027854497575708223 
-0.38567902998857195 -0.087531167111567804 -0.10112139741562455 -0.12637945453440463 0.27360451518396672 -0.069182620033293799 0.29758730520326976 -0.042098954691583562 0.30638515821478979 -0.016086134562958213 0.30292138686262832 0.017067476700652201 0.26357609715723701 0.048191057854940718 0.18995052081672673 0.088279982496020246 0.081737591969766626 0.12217722869531887 -0.081619695333030179 0.15581316697867781 -0.37636086267505897 0.032207521836531375 -0.20563946360358179 0.021856496592178521 -0.20765942150987104 -0.0098075432701688857 -0.12478935089045076 -0.0018370704319732656 -0.1308313817331393 -0.027905720719022486 -0.13287925471864021 -0.060947671665785276 -0.016035963335431776 -0.077099564242952473 0.046853245795018678 0.033282970109389111 
-0.37333395939560926 -0.093245356583129588 -0.089985030987040984 -0.13270792661093708 0.27072470218049111 -0.078514262380680183 0.29285644644240816 -0.054385507681025139 0.31259447599419143 -0.016099561394645818 0.30298768255393693 0.020622509684697875 0.2657641106858662 0.057043680290804852 0.20092376038997817 0.09316395042367491 0.08108238815366782 0.13017792925908209 -0.073985545512975842 0.1573525797390242 -0.37842678564769971 0.03161148363007274 -0.19893369316675094 0.023613989072333235 -0.19909786252393594 -0.0069938086535039712 -0.13326350336776557 0.0026813503447763202 -0.13964224623620239 -0.028491817369228071 -0.13428944682776806 -0.063020774053928849 -0.023954567873966329 -0.072518274619264994 0.017979075139173496 0.029709816901878829 
-0.3754909625868646 -0.091856024802469766 -0.091324129181361485 -0.12838979766281786 0.26390960958464982 -0.090230259904733282 0.30057608645254669 -0.049265178330347388 0.31624843984717327 -0.014440544703821221 0.31273950846875764 0.020033122999116474 0.26987384671324705 0.055705439036002086 0.19724209696716188 0.092751886368629993 0.068967073083075245 0.12973959676150354 -0.098401456735415505 0.15353999190854342 -0.360579277979169 0.03697445250814238 -0.20297687350899354 0.022589216785829438 -0.19765510343035031 -0.0060949688928367092 -0.13304987954267872 0.0022825228891650805 -0.13388305968246675 -0.030831515788601896 -0.13326886931618706 -0.064398764141425702 -0.029043690608728693 -0.071605884273153703 0.026116641455604623 0.033496709243275691 
-0.37099779230150809 -0.082494526364797857 -0.11013803907827094 -0.1227175962218672 0.28480760038559871 -0.074248301324939592 0.30964260721438019 -0.043597766122981052 0.31668172430423452 -0.012239933498654829 0.30749235140234371 0.014415699884124269 0.26616144600253555 0.050815198688715237 0.18923876112487301 0.088629292338041774 0.077331172287355296 0.12070426006541456 -0.09241305820167596 0.15507794441548292 -0.35750241418665368 0.03282510822704509 -0.19826172953988022 0.014464888287518029 -0.20185059964979746 -0.0085636737597322363 -0.1368984384572064 -5.1958289860582566e-06 -0.13543146061439262 -0.030364302998517594 -0.13976582937228946 -0.060938435749252638 -0.030247541381157022 -0.074648839445310713 0.022151240061508586 0.032886179408698625 
-0.37411916724211508 -0.089741420210014036 -0.097016734305012092 -0.12666025471016376 0.27688665299308762 -0.070465184306112622 0.30217765349557335 -0.042360122074462166 0.31098370963552713 -0.021352208378864205 0.3079587389051589 0.013151990404575464 0.26744091011666032 0.04936509679191653 0.18386738479235371 0.092602728803954551 0.079075036771245194 0.12575455300524926 -0.078240764454210299 0.15995358428185985 -0.36695635552756939 0.031746781174830797 -0.20569198672487066 0.021006232568364133 -0.20694276487068625 -0.0084732180375428276 -0.13303322935471501 0.007291700548614638 -0.13245882759889271 -0.032069986797535442 -0.13844348407897791 -0.064538096678133122 -0.022561770558192269 -0.078550836471849655 0.027074998005635044 0.03333866008531125 
-0.38216475643765868 -0.079382266651862751 -0.09285164316560432 -0.12223277149607858 0.28696724091894821 -0.065937731011890446 0.30606746725547396 -0.035038190379796087 0.31363615179142007 -0.0082490075274054744 0.30448391141920433 0.018761426097591093 0.26157931295972975 0.04753014460907945 0.18987498150717741 0.080614964432082922 0.079155158602247908 0.11421603605783386 -0.070890664025994657 0.14964914282761194 -0.36126350943869551 0.038063973474534669 -0.20735959428494463 0.021599099767005778 -0.21174944585399519 -0.012774274862125535 -0.13883409579928807 -0.0039015282792569978 -0.13757655547474931 -0.032775011529869821 -0.14026636517404911 -0.062580019593290778 -0.029562049509914114 -0.072570741333546726 0.030754454710692079 0.025006755399382595 
-0.37673222175133148 -0.088818573711932872 -0.11473081285420549 -0.11966057940908839 0.28114226014361743 -0.070781151185469265 0.30353485550927423 -0.044830823125433072 0.31781797335616968 -0.011882809013629019 0.31268413685477597 0.016598443476977396 0.26447198832900565 0.05254169435937231 0.18777858731262842 0.083351108740373381 0.07287256078313116 0.1174239098821023 -0.087799673044750726 0.154204202051062 -0.35994437541738072 0.033928780346188722 -0.2010510079366887 0.02131994989007556 -0.20335957407386007 -0.0092279146910805472 -0.13302298017256972 0.005061803346106699 -0.134998008869643 -0.03001821030620826 -0.13708421671341595 -0.063587507601470319 -0.017914191102896972 -0.073044130443555233 0.026334699648143091 0.027421807395609035 
-0.38907557145518762 -0.083490639640271952 -0.10148929402873344 -0.13384236615684544 0.28597816301462026 -0.069499334324605005 0.30472346669126393 -0.042752889273340623 0.31317287845911612 -0.016152525837508407 0.30687213561000098 0.013180832978789719 0.26228777092382616 0.04491328634028053 0.17786546749051624 0.084907332249782794 0.059613804928322349 0.12442139570857974 -0.098246239556755627 0.15601779300157428 -0.36876592532153463 0.040373095298285734 -0.20960198955283743 0.020564300417542529 -0.20922635111315513 -0.0059108502050622402 -0.10641351364067979 0.0058458578580486663 -0.10736263528682131 -0.030946053475551401 -0.11572857184585565 -0.063429783716406937 -0.03903611535850731 -0.077053023014327204 0.034432520042400917 0.032853571791036713 
-0.36566682717986576 -0.091368461122107753 -0.11029919033280591 -0.13124020478507167 0.29036040834005783 -0.067712431688709301 0.30595201700086194 -0.044213223333560689 0.31420836186980666 -0.015926737014009349 0.30709168881137855 0.014994504760444994 0.26813102623659385 0.048330244591553086 0.18590632273284294 0.088472297125759561 0.08229154856971993 0.12242042434343986 -0.09414691242324004 0.15619001231177637 -0.35504270239762514 0.040224105670053988 -0.19718435068942552 0.028019794280798732 -0.19907156432213535 -0.0092705787298904239 -0.13845885554082388 0.0034693504073968649 -0.14074153249149163 -0.029736234982542884 -0.13977373327104908 -0.068124561654843152 -0.027638972027009552 -0.076509394300138589 0.014083267114211628 0.031981094119650076 
