"Fam_new","Biome","State","Locality","Latitude","mean.Emtime","sd.Emtime","N.Emtime","se.Emtime","estimate.(Intercept)","std.error.(Intercept)","statistic.(Intercept)","p.value.(Intercept)","estimate.Temp_num","std.error.Temp_num","statistic.Temp_num","p.value.Temp_num","K","tb","T","tc","NG"
"A22","Amazon","Amazonas","ARS",-2.864,18.7692307692308,3.78682993698686,39,0.606378086583541,-0.0177654881209993,0.00736370570667775,-2.41257443312662,0.0209131285505366,0.0030285405102088,0.000301499455641959,10.0449286177329,4.05978691216705e-12,330.192050140699,5.866022944423,365,27.61,24.0361681085409
"A23","Amazon","Amazonas","ARS",-2.864,18.4318181818182,2.79032987357815,44,0.420658055999025,0.0117720755302897,0.0068532549641029,1.7177349437532,0.093210733888856,0.00182234834564388,0.000282886010588233,6.44198821233501,9.18253918284431e-08,548.742507101011,-6.45983824027361,365,27.61,22.6617963740337
"A24","Amazon","Amazonas","ARS",-2.864,17.4878048780488,3.05058970708544,41,0.476422070534194,-0.000426641882129133,0.0071827376342418,-0.0593982272295776,0.952938251679864,0.00249332038683602,0.000298876027698993,8.3423230897164,3.32662643183533e-10,401.071601258987,0.171113942829679,365,27.61,24.9710859094209
"A25","Amazon","Amazonas","ARS",-2.864,17.8780487804878,2.80352565487833,41,0.437837148073567,0.00206359426781109,0.00600876390825305,0.343430745377888,0.733118990755305,0.00231158357059367,0.000249102597243199,9.27964459694842,2.03473172114249e-11,432.603870663078,-0.89271886773322,365,27.61,24.0485420779443
"A3","Amazon","Amazonas","APR",-3.028,18.9473684210526,3.43233722608523,38,0.556798622615565,-0.0109171635234497,0.00497801066799593,-2.1930775668355,0.0348454943591607,0.00276182212543429,0.000208256088013815,13.2616633289063,2.00924381088948e-15,362.079798981533,3.95288437401919,365,27.71,23.9487185639021
"A4","Amazon","Amazonas","APR",-3.028,18.6666666666667,2.51661147842358,39,0.402980349884659,0.0205729369737159,0.00687181315730501,2.99381495142167,0.00488863960372727,0.00140243813888725,0.000281359414502656,4.98450759632929,1.47976682776925e-05,713.043928478329,-14.6694078000754,365,27.71,21.6935916978328
"A5","Amazon","Amazonas","APR",-3.028,18.275,2.6310522414874,40,0.416005886299578,0.0078094712356308,0.00521092697740651,1.49867216898088,0.14222094504709,0.00203406583987345,0.000218799777587951,9.29647124095366,2.49088932676637e-11,491.626170794066,-3.83934043949958,365,27.71,23.4233040153613
"A6","Amazon","Amazonas","APR",-3.028,18.3684210526316,2.44309343817483,38,0.396322089495962,0.0140547594399322,0.00675362731106429,2.08106826044527,0.0446012713400294,0.00172400485489393,0.00027896471861361,6.18001037357641,3.99688269723064e-07,580.044770269236,-8.15238971052486,365,27.71,22.5668308987008
"A7","Amazon","Amazonas","APR",-3.028,18.7317073170732,3.27127184932636,41,0.510886830869595,-0.00530748625982752,0.00750545239778288,-0.707150745689275,0.483677069792052,0.00255923272068158,0.000315084187478606,8.12237751808904,6.50374741223169e-10,390.742112633539,2.07385839393848,365,27.71,23.9472311370446
"A8","Amazon","Amazonas","APR",-3.028,19.1904761904762,3.27770067561568,42,0.505760194420511,-0.00478245814888151,0.00552950886231411,-0.864897456169377,0.392252624064675,0.00246316847458589,0.000231084982018281,10.6591456228472,2.9683519617597e-13,405.981162197247,1.94158791744261,365,27.71,23.1672582028911
"A9","Amazon","Amazonas","APR",-3.028,17.6153846153846,2.73009913657848,39,0.437165734445174,0.00922538003468646,0.00594802215835708,1.55099960778132,0.129414269046807,0.00201499100319143,0.000243535729743341,8.27390299285856,6.13339332964126e-10,496.280131482552,-4.57837281659071,365,27.71,23.7471849675891
"R1","Amazon","Rondonia","RMO",-9.223,20.1944444444444,3.46261209777857,36,0.577102016296429,0.00474068877080764,0.0076748782505008,0.617689117152875,0.540895743954132,0.00194222918110556,0.000320033628642602,6.06882842076121,7.01226320513819e-07,514.872297115204,-2.44084931733398,365,25.6,19.8785408695951
"R10","Amazon","Rondonia","RMO",-9.223,20.025,3.99029270824032,40,0.630920674440058,-0.018120022625737,0.0076933496011131,-2.35528392250825,0.0237733969392911,0.00292658863458588,0.000317700930836767,9.21177230069101,3.17771504194134e-11,341.694759619506,6.19151677540119,365,25.6,20.7322359431765
"R11","Amazon","Rondonia","RMO",-9.223,19.6944444444444,3.80089797243038,36,0.633482995405064,-0.00946992564423653,0.00760078424315233,-1.24591428217005,0.221313062442617,0.00262603835935127,0.000318299777938552,8.25020481119601,1.2569377416043e-09,380.801748930674,3.60616424756871,365,25.6,21.0811795696319
"R12","Amazon","Rondonia","RMO",-9.223,21.3947368421053,3.12392228927302,38,0.506767113267934,0.00960460044872349,0.00612905093930498,1.56706161261121,0.125849348755636,0.00162383016752021,0.000258902360514152,6.2719789973929,3.01420742531636e-07,615.827948021883,-5.91478138590744,365,25.6,18.6787482490929
"R13","Amazon","Rondonia","RMO",-9.223,19.3181818181818,4.50804955856863,22,0.961119395253425,-0.0219342404186946,0.0126606884039632,-1.73246822912319,0.0985846555139357,0.00316422514402039,0.000518760283079853,6.09959021001869,5.82498717670594e-06,316.033137493314,6.93194681805273,365,25.6,21.560521992903
"R14","Amazon","Rondonia","RMO",-9.223,20.6190476190476,3.81238278317931,42,0.588263434782371,-6.37623716598885e-05,0.00734227144555017,-0.00868428416638452,0.993114199527025,0.0020849641420862,0.000301862637573069,6.90699637043194,2.52745825231514e-08,479.62455555682,0.0305819991686228,365,25.6,19.4586316779976
"R15","Amazon","Rondonia","RMO",-9.223,20.75,4.22740673959054,32,0.747306993099545,-0.00403937358943551,0.0110644830615438,-0.365075672037038,0.717616169323567,0.00231239620853234,0.000466727048451837,4.95449367291376,2.64903453036284e-05,432.451842080597,1.7468345496031,365,25.6,20.1326588123822
"R16","Amazon","Rondonia","RPV",-8.742,19.5357142857143,3.12080406136271,28,0.589776531209006,0.00650325211741246,0.00983485611210323,0.661245273269352,0.514272559382973,0.00198746803525276,0.000421665977076465,4.7133706376608,7.16254146908915e-05,503.152746239173,-3.2721291623618,365,25.7,21.0171309275441
"R17","Amazon","Rondonia","RPV",-8.742,18.7647058823529,3.41923624082751,17,0.829286598815981,-0.0152128080923972,0.0120427126328164,-1.26323765718218,0.225786523664383,0.00295782606025161,0.000503014085288042,5.88020524029235,3.02331866404831e-05,338.086141520754,5.14323958965427,365,25.7,22.1932124044653
"R18","Amazon","Rondonia","RPV",-8.742,19.1842105263158,3.50177764245297,38,0.568063345642652,-0.00234635630130769,0.00784112288746083,-0.299237282081101,0.7664797898562,0.00240490065531853,0.000332600656128772,7.23059504244462,1.63970342645887e-08,415.817592210498,0.975656227677695,365,25.7,21.7027505472382
"R19","Amazon","Rondonia","RPV",-8.742,21.1794871794872,3.47071807276546,39,0.555759677369883,0.00564155394939132,0.00740732896921507,0.761617848058007,0.451115624049366,0.00181737893312359,0.000311310953512182,5.83782521180216,1.04118668593967e-06,550.242980026883,-3.10422545709551,365,25.7,19.1070902736936
"R2","Amazon","Rondonia","RMO",-9.223,20.1463414634146,4.82473302686147,41,0.753496706913156,-0.0192023789431627,0.0094746807034192,-2.02670459767927,0.0495689107651676,0.00302419531273853,0.000395987487564525,7.63709816019311,2.90630244280583e-09,330.66647375181,6.34958293278162,365,25.6,21.2492126879744
