Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex
ARS 246	Amazon	Amazonas	-2.864	ARS	4	A	1	F
ARS 247	Amazon	Amazonas	-2.864	ARS	4	A	1	M
ARS 251	Amazon	Amazonas	-2.864	ARS	4	A	2	M
ARS 254	Amazon	Amazonas	-2.864	ARS	4	A	2	F
ARS 255	Amazon	Amazonas	-2.864	ARS	4	A	2	F
ARS 259	Amazon	Amazonas	-2.864	ARS	4	A	3	M
ARS 261	Amazon	Amazonas	-2.864	ARS	4	B	1	M
ARS 264	Amazon	Amazonas	-2.864	ARS	4	B	1	F
ARS 265	Amazon	Amazonas	-2.864	ARS	4	B	1	F
ARS 268	Amazon	Amazonas	-2.864	ARS	4	B	2	M
ARS 269	Amazon	Amazonas	-2.864	ARS	4	B	2	M
ARS 272	Amazon	Amazonas	-2.864	ARS	4	B	3	F
ARS 276	Amazon	Amazonas	-2.864	ARS	4	C	1	F
ARS 278	Amazon	Amazonas	-2.864	ARS	4	C	1	M
ARS 282	Amazon	Amazonas	-2.864	ARS	4	C	2	F
ARS 287	Amazon	Amazonas	-2.864	ARS	4	C	3	M
ARS 294	Amazon	Amazonas	-2.864	ARS	1	A	1	M
ARS 300	Amazon	Amazonas	-2.864	ARS	1	A	2	M
ARS 303	Amazon	Amazonas	-2.864	ARS	1	A	3	F
ARS 306	Amazon	Amazonas	-2.864	ARS	1	B	1	F
ARS 313	Amazon	Amazonas	-2.864	ARS	1	B	2	M
ARS 322	Amazon	Amazonas	-2.864	ARS	1	C	1	M
ARS 325	Amazon	Amazonas	-2.864	ARS	1	C	1	F
ARS 326	Amazon	Amazonas	-2.864	ARS	1	C	2	M
ARS 332	Amazon	Amazonas	-2.864	ARS	1	C	3	M
ARS 335	Amazon	Amazonas	-2.864	ARS	1	C	3	M
ARS 343	Amazon	Amazonas	-2.864	ARS	9	A	2	F
ARS 351	Amazon	Amazonas	-2.864	ARS	9	B	1	M
ARS 353	Amazon	Amazonas	-2.864	ARS	9	B	1	F
ARS 356	Amazon	Amazonas	-2.864	ARS	9	B	2	M
ARS 362	Amazon	Amazonas	-2.864	ARS	9	B	3	F
ARS 364	Amazon	Amazonas	-2.864	ARS	9	B	3	M
ARS 369	Amazon	Amazonas	-2.864	ARS	9	C	1	F
ARS 371	Amazon	Amazonas	-2.864	ARS	9	C	2	M
ARS 372	Amazon	Amazonas	-2.864	ARS	9	C	2	F
ARS 373	Amazon	Amazonas	-2.864	ARS	9	C	2	F
ARS 378	Amazon	Amazonas	-2.864	ARS	9	C	3	F
ARS 379	Amazon	Amazonas	-2.864	ARS	9	C	3	M
ARS 384	Amazon	Amazonas	-2.864	ARS	6	A	1	M
ARS 390	Amazon	Amazonas	-2.864	ARS	6	A	2	M
ARS 391	Amazon	Amazonas	-2.864	ARS	6	A	3	F
