Code	Family	Wing.length..mm.	Sex binary 0=F
RMO 507	36	2.739	0
RMO 513	36	2.59	0
RMO 518	36	2.444	1
RMO 520	36	2.664	0
RMO 521	36	2.562	1
RMO 536	36	2.627	1
RMO 537	36	2.496	0
RMO 538	36	2.423	0
RMO 539	36	2.772	1
RMO 541	42	2.813	1
RMO 542	42	2.657	0
RMO 543	42	2.594	0
RMO 546	42	2.941	1
RMO 554	42	2.801	0
RMO 557	42	2.602	0
RMO 561	42	2.717	0
RMO 562	42	2.621	1
RMO 571	42	2.521	0
RMO 573	42	2.556	0
RMO 596	13	2.79	1
RMO 598	13	2.625	0
RMO 602	13	2.593	0
RMO 603	13	2.532	0
RMO 605	13	2.64	0
RMO 611	13	2.407	0
RMO 625	13	2.811	1
RMO 629	13	2.551	0
RMO 639	17	2.892	1
RMO 641	17	2.938	0
RMO 646	17	2.714	1
RMO 653	17	2.664	1
RMO 656	17	2.618	1
RMO 657	17	2.407	1
RMO 659	17	2.674	0
RMO 663	17	2.549	0
RMO 671	17	2.443	1
RMO 674	17	2.45	0
RMO 682	5	2.731	0
RMO 691	5	2.615	0
RMO 694	5	2.425	0
RMO 696	5	2.655	0
RMO 700	5	2.794	1
RMO 701	5	2.524	0
RMO 702	5	2.56	0
RMO 707	5	2.548	1
RMO 708	5	2.516	1
RMO 709	5	2.707	1
RMO 712	5	2.41	1
RMO 716	5	2.256	0
RPV 095	11	2.892	1
RPV 103	11	2.865	0
RPV 116	11	2.612	1
RPV 119	11	2.522	0
RPV 123	11	2.73	0
RPV 125	11	2.328	1
RPV 142	23	2.703	1
RPV 147	23	3.038	1
RPV 156	23	2.611	1
RPV 159	23	2.816	1
RPV 167	23	2.736	1
RPV 174	23	2.524	1
RPV 176	23	2.528	1
RPV 177	23	2.237	0
RPV 181	23	2.602	1
RPV 185	25	2.752	0
RPV 191	25	2.778	0
RPV 195	25	2.765	0
RPV 220	25	2.373	0
RPV 243	38	2.81	1
RPV 244	38	3.053	1
RPV 246	38	2.59	1
RPV 252	38	2.789	1
RPV 254	38	2.577	0
RPV 258	38	2.668	0
RPV 259	38	2.622	0
RPV 263	38	2.587	1
RPV 273	38	2.174	0
RPV 280	12	2.643	0
RPV 281	12	2.604	0
RPV 290	12	2.73	0
RPV 297	12	2.609	0
RPV 300	12	2.577	0
RPV 310	12	2.439	0
RPV 312	12	2.594	0
RPV 315	12	2.594	0
RPV 329	17	2.997	1
RPV 330	17	2.9	1
RPV 337	17	2.426	1
RPV 339	17	2.721	1
RPV 344	17	3.034	1
RPV 346	17	2.503	1
RPV 350	17	2.603	1
RPV 366	18	2.799	0
RPV 371	18	2.862	1
RPV 372	18	2.851	0
RPV 374	18	2.887	0
RPV 375	18	2.963	1
RPV 391	18	2.749	1
RPV 395	18	2.506	0
RPV 399	18	2.601	0
RPV 405	18	2.388	1
RPV 407	18	2.449	1
RPV 418	19	2.939	1
RPV 425	19	2.742	1
RPV 432	19	2.549	0
RPV 434	19	2.775	0
RPV 435	19	2.589	0
RPV 439	19	2.641	1
RPV 440	19	2.574	0
RPV 441	19	2.421	0
RPV 445	19	2.334	0
RPV 455	20	2.702	1
RPV 461	20	2.463	0
RPV 461	20	2.463	0
RPV 462	20	2.485	0
RPV 463	20	2.598	1
RPV 470	20	2.608	0
RPV 472	20	2.505	1
RPV 474	20	2.601	0
RPV 475	20	2.602	0
RPV 479	20	2.651	0
RPV 480	20	2.713	0
RPV 483	20	2.717	0
RPV 487	20	2.756	1
RPV 495	20	2.197	0
RPV 497	20	2.369	0
RPV 499	20	2.551	1
RPV 502	28	2.922	0
RPV 503	28	2.671	0
RPV 520	28	2.537	0
RPV 540	28	2.308	1
RPV 542	28	2.481	1
RPV 543	28	2.561	0
RPV 545	37	2.379	0
RPV 549	37	2.808	0
RPV 550	37	2.946	1
RPV 551	37	2.838	1
RPV 556	37	2.883	1
RPV 562	37	2.596	1
RPV 566	37	2.483	0
RPV 570	37	2.59	1
RPV 574	37	2.629	0
RPV 578	37	2.405	0
RPV 580	37	2.631	1
RPV 582	37	2.307	0
RPV 591	43	2.802	0
RPV 594	43	3.068	1
RPV 602	43	3.029	0
RPV 603	43	2.923	1
RPV 604	43	3.05	1
RPV 613	43	2.656	1
RPV 614	43	2.935	1
RPV 621	43	2.545	1
RPV 635	33	2.674	0
RPV 649	33	2.802	0
RPV 652	33	2.484	1
RPV 653	33	2.665	1
RPV 658	33	2.84	1
RPV 662	33	2.557	0
RPV 664	33	2.474	0
RPV 665	33	2.455	1
RPV 669	33	2.271	0
RPV 670	33	2.462	1
RPV 677	33	2.42	1
RPV 688	42	2.717	0
RPV 690	42	2.586	1
RPV 691	42	2.68	1
RPV 693	42	2.767	0
RPV 706	42	2.538	0
RPV 709	42	2.485	0
RPV 711	42	2.305	0
RPV 714	42	2.568	1
RPV 717	42	2.459	0
RPV 722	42	2.343	0
RPV 726	15	2.838	1
RPV 728	15	2.977	0
RPV 729	15	3.122	1
RPV 755	15	2.436	0
RPV 766	15	2.479	1
SJU 014	6	3.051	0
SJU 022	6	2.853	0
SJU 026	6	2.982	1
SJU 034	6	2.53	0
SJU 037	6	2.815	1
SJU 040	6	2.748	0
SJU 060	4	3.114	0
SJU 062	4	3.025	0
SJU 068	4	2.838	1
SJU 075	4	2.695	0
SJU 080	4	2.651	0
SJU 081	4	2.696	1
SJU 086	4	2.723	1
SJU 104	1	2.84	0
SJU 105	1	2.613	1
SJU 111	1	2.918	0
SJU 119	1	2.742	1
SJU 120	1	2.734	0
SJU 123	1	2.776	0
SJU 124	1	2.617	0
SJU 127	1	2.665	1
SJU 129	1	2.591	1
SJU 130	1	2.767	1
SJU 131	1	2.723	0
