"","Code","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"158","ARS 078","Amazon","Amazonas",-2.864,"ARS",17,"A","3","M",2.82
"159","ARS 082","Amazon","Amazonas",-2.864,"ARS",17,"B","1","M",2.549
"160","ARS 089","Amazon","Amazonas",-2.864,"ARS",17,"B","2","F",2.741
"161","ARS 093","Amazon","Amazonas",-2.864,"ARS",17,"B","3","F",2.389
"162","ARS 100","Amazon","Amazonas",-2.864,"ARS",17,"C","1","F",2.771
"163","ARS 103","Amazon","Amazonas",-2.864,"ARS",17,"C","2","M",2.588
"164","ARS 104","Amazon","Amazonas",-2.864,"ARS",17,"C","2","M",2.861
"165","ARS 108","Amazon","Amazonas",-2.864,"ARS",17,"C","3","F",2.449
"166","ARS 113","Amazon","Amazonas",-2.864,"ARS",3,"A","1","M",2.93
"167","ARS 116","Amazon","Amazonas",-2.864,"ARS",3,"A","2","F",2.755
"168","ARS 118","Amazon","Amazonas",-2.864,"ARS",3,"A","2","M",3.004
"169","ARS 119","Amazon","Amazonas",-2.864,"ARS",3,"A","2","F",2.934
"170","ARS 120","Amazon","Amazonas",-2.864,"ARS",3,"A","2","M",2.638
"171","ARS 124","Amazon","Amazonas",-2.864,"ARS",3,"A","3","F",2.765
"172","ARS 128","Amazon","Amazonas",-2.864,"ARS",3,"B","1","M",2.636
"173","ARS 136","Amazon","Amazonas",-2.864,"ARS",3,"B","3","M",2.694
"174","ARS 139","Amazon","Amazonas",-2.864,"ARS",3,"B","3","F",2.781
"175","ARS 142","Amazon","Amazonas",-2.864,"ARS",3,"C","1","F",2.461
"176","ARS 147","Amazon","Amazonas",-2.864,"ARS",3,"C","2","M",2.468
"177","ARS 156","Amazon","Amazonas",-2.864,"ARS",16,"A","1","F",2.609
"178","ARS 163","Amazon","Amazonas",-2.864,"ARS",16,"A","2","F",2.843
"179","ARS 164","Amazon","Amazonas",-2.864,"ARS",16,"A","2","M",2.944
"180","ARS 165","Amazon","Amazonas",-2.864,"ARS",16,"A","2","M",2.917
"181","ARS 166","Amazon","Amazonas",-2.864,"ARS",16,"A","3","F",2.704
"182","ARS 174","Amazon","Amazonas",-2.864,"ARS",16,"B","1","F",2.814
"183","ARS 178","Amazon","Amazonas",-2.864,"ARS",16,"B","2","M",2.512
"184","ARS 180","Amazon","Amazonas",-2.864,"ARS",16,"B","2","M",2.724
"185","ARS 181","Amazon","Amazonas",-2.864,"ARS",16,"B","3","M",2.509
"186","ARS 182","Amazon","Amazonas",-2.864,"ARS",16,"B","3","F",2.575
"187","ARS 186","Amazon","Amazonas",-2.864,"ARS",16,"C","1","M",2.456
"188","ARS 188","Amazon","Amazonas",-2.864,"ARS",16,"C","1","F",2.385
"189","ARS 196","Amazon","Amazonas",-2.864,"ARS",16,"C","3","F",2.355
"190","ARS 246","Amazon","Amazonas",-2.864,"ARS",4,"A","1","F",2.766
"191","ARS 247","Amazon","Amazonas",-2.864,"ARS",4,"A","1","M",2.621
"192","ARS 251","Amazon","Amazonas",-2.864,"ARS",4,"A","2","M",2.692
"193","ARS 254","Amazon","Amazonas",-2.864,"ARS",4,"A","2","F",2.745
"194","ARS 255","Amazon","Amazonas",-2.864,"ARS",4,"A","2","F",2.659
"195","ARS 259","Amazon","Amazonas",-2.864,"ARS",4,"A","3","M",2.725
"196","ARS 261","Amazon","Amazonas",-2.864,"ARS",4,"B","1","M",2.576
"197","ARS 264","Amazon","Amazonas",-2.864,"ARS",4,"B","1","F",2.785
"198","ARS 265","Amazon","Amazonas",-2.864,"ARS",4,"B","1","F",2.547
"199","ARS 268","Amazon","Amazonas",-2.864,"ARS",4,"B","2","M",2.856
"200","ARS 269","Amazon","Amazonas",-2.864,"ARS",4,"B","2","M",2.836
"201","ARS 272","Amazon","Amazonas",-2.864,"ARS",4,"B","3","F",2.483
"202","ARS 276","Amazon","Amazonas",-2.864,"ARS",4,"C","1","F",2.345
"203","ARS 278","Amazon","Amazonas",-2.864,"ARS",4,"C","1","M",2.593
