Code,Biome,State,Latitude,Locality,Family,Temp,Well,Sex,Wing.length..mm.,Sex binary 0=F
ARS 108,Amazon,Amazonas,-2.864,ARS,17,C,3,F,2.449,0
ARS 113,Amazon,Amazonas,-2.864,ARS,3,A,1,M,2.93,1
ARS 116,Amazon,Amazonas,-2.864,ARS,3,A,2,F,2.755,0
ARS 118,Amazon,Amazonas,-2.864,ARS,3,A,2,M,3.004,1
ARS 119,Amazon,Amazonas,-2.864,ARS,3,A,2,F,2.934,0
ARS 120,Amazon,Amazonas,-2.864,ARS,3,A,2,M,2.638,1
ARS 124,Amazon,Amazonas,-2.864,ARS,3,A,3,F,2.765,0
ARS 128,Amazon,Amazonas,-2.864,ARS,3,B,1,M,2.636,1
ARS 136,Amazon,Amazonas,-2.864,ARS,3,B,3,M,2.694,1
ARS 139,Amazon,Amazonas,-2.864,ARS,3,B,3,F,2.781,0
ARS 142,Amazon,Amazonas,-2.864,ARS,3,C,1,F,2.461,0
ARS 147,Amazon,Amazonas,-2.864,ARS,3,C,2,M,2.468,1
ARS 156,Amazon,Amazonas,-2.864,ARS,16,A,1,F,2.609,0
ARS 163,Amazon,Amazonas,-2.864,ARS,16,A,2,F,2.843,0
ARS 164,Amazon,Amazonas,-2.864,ARS,16,A,2,M,2.944,1
ARS 165,Amazon,Amazonas,-2.864,ARS,16,A,2,M,2.917,1
ARS 166,Amazon,Amazonas,-2.864,ARS,16,A,3,F,2.704,0
ARS 174,Amazon,Amazonas,-2.864,ARS,16,B,1,F,2.814,0
ARS 178,Amazon,Amazonas,-2.864,ARS,16,B,2,M,2.512,1
ARS 180,Amazon,Amazonas,-2.864,ARS,16,B,2,M,2.724,1
ARS 181,Amazon,Amazonas,-2.864,ARS,16,B,3,M,2.509,1
ARS 182,Amazon,Amazonas,-2.864,ARS,16,B,3,F,2.575,0
ARS 186,Amazon,Amazonas,-2.864,ARS,16,C,1,M,2.456,1
ARS 188,Amazon,Amazonas,-2.864,ARS,16,C,1,F,2.385,0
ARS 196,Amazon,Amazonas,-2.864,ARS,16,C,3,F,2.355,0
ARS 246,Amazon,Amazonas,-2.864,ARS,4,A,1,F,2.766,0
ARS 247,Amazon,Amazonas,-2.864,ARS,4,A,1,M,2.621,1
ARS 251,Amazon,Amazonas,-2.864,ARS,4,A,2,M,2.692,1
ARS 254,Amazon,Amazonas,-2.864,ARS,4,A,2,F,2.745,0
ARS 255,Amazon,Amazonas,-2.864,ARS,4,A,2,F,2.659,0
ARS 259,Amazon,Amazonas,-2.864,ARS,4,A,3,M,2.725,1
ARS 261,Amazon,Amazonas,-2.864,ARS,4,B,1,M,2.576,1
ARS 264,Amazon,Amazonas,-2.864,ARS,4,B,1,F,2.785,0
ARS 265,Amazon,Amazonas,-2.864,ARS,4,B,1,F,2.547,0
ARS 268,Amazon,Amazonas,-2.864,ARS,4,B,2,M,2.856,1
ARS 269,Amazon,Amazonas,-2.864,ARS,4,B,2,M,2.836,1
ARS 272,Amazon,Amazonas,-2.864,ARS,4,B,3,F,2.483,0
ARS 276,Amazon,Amazonas,-2.864,ARS,4,C,1,F,2.345,0
ARS 278,Amazon,Amazonas,-2.864,ARS,4,C,1,M,2.593,1
ARS 282,Amazon,Amazonas,-2.864,ARS,4,C,2,F,2.439,0
ARS 287,Amazon,Amazonas,-2.864,ARS,4,C,3,M,2.478,1
ARS 294,Amazon,Amazonas,-2.864,ARS,1,A,1,M,2.787,1
ARS 300,Amazon,Amazonas,-2.864,ARS,1,A,2,M,2.999,1
ARS 303,Amazon,Amazonas,-2.864,ARS,1,A,3,F,2.715,0
ARS 306,Amazon,Amazonas,-2.864,ARS,1,B,1,F,2.724,0
ARS 313,Amazon,Amazonas,-2.864,ARS,1,B,2,M,2.495,1
ARS 322,Amazon,Amazonas,-2.864,ARS,1,C,1,M,2.759,1
ARS 325,Amazon,Amazonas,-2.864,ARS,1,C,1,F,2.551,0
ARS 326,Amazon,Amazonas,-2.864,ARS,1,C,2,M,2.563,1
ARS 332,Amazon,Amazonas,-2.864,ARS,1,C,3,M,2.417,1
ARS 335,Amazon,Amazonas,-2.864,ARS,1,C,3,M,2.965,1
ARS 343,Amazon,Amazonas,-2.864,ARS,9,A,2,F,2.779,0
ARS 351,Amazon,Amazonas,-2.864,ARS,9,B,1,M,2.696,1
ARS 353,Amazon,Amazonas,-2.864,ARS,9,B,1,F,2.697,0
ARS 356,Amazon,Amazonas,-2.864,ARS,9,B,2,M,2.682,1
ARS 362,Amazon,Amazonas,-2.864,ARS,9,B,3,F,2.319,0
ARS 364,Amazon,Amazonas,-2.864,ARS,9,B,3,M,2.454,1
ARS 369,Amazon,Amazonas,-2.864,ARS,9,C,1,F,2.537,0
ARS 371,Amazon,Amazonas,-2.864,ARS,9,C,2,M,2.519,1
ARS 372,Amazon,Amazonas,-2.864,ARS,9,C,2,F,2.443,0
ARS 373,Amazon,Amazonas,-2.864,ARS,9,C,2,F,2.483,0
ARS 378,Amazon,Amazonas,-2.864,ARS,9,C,3,F,2.321,0
ARS 379,Amazon,Amazonas,-2.864,ARS,9,C,3,M,2.396,1
ARS 384,Amazon,Amazonas,-2.864,ARS,6,A,1,M,2.725,1
ARS 390,Amazon,Amazonas,-2.864,ARS,6,A,2,M,2.896,1
ARS 391,Amazon,Amazonas,-2.864,ARS,6,A,3,F,2.725,0
ARS 393,Amazon,Amazonas,-2.864,ARS,6,A,3,F,2.599,0
ARS 400,Amazon,Amazonas,-2.864,ARS,6,B,1,M,2.681,1
ARS 404,Amazon,Amazonas,-2.864,ARS,6,B,2,F,2.559,0
ARS 413,Amazon,Amazonas,-2.864,ARS,6,C,1,M,2.566,1
ARS 416,Amazon,Amazonas,-2.864,ARS,6,C,2,M,2.483,1
ARS 417,Amazon,Amazonas,-2.864,ARS,6,C,2,F,2.523,0
ARS 421,Amazon,Amazonas,-2.864,ARS,6,C,3,M,2.592,1
ARS 422,Amazon,Amazonas,-2.864,ARS,6,C,3,M,2.576,1
ARS 434,Amazon,Amazonas,-2.864,ARS,13,A,2,M,2.747,1
ARS 436,Amazon,Amazonas,-2.864,ARS,13,A,3,M,2.76,1
ARS 438,Amazon,Amazonas,-2.864,ARS,13,A,3,F,2.63,0
ARS 449,Amazon,Amazonas,-2.864,ARS,13,B,2,F,2.663,0
ARS 454,Amazon,Amazonas,-2.864,ARS,13,B,3,F,2.638,0
ARS 456,Amazon,Amazonas,-2.864,ARS,13,C,1,M,2.397,1
ARS 459,Amazon,Amazonas,-2.864,ARS,13,C,1,F,2.614,0
ARS 462,Amazon,Amazonas,-2.864,ARS,13,C,2,F,2.269,0
ARS 470,Amazon,Amazonas,-2.864,ARS,13,C,3,F,2.4,0
ARS 516,Amazon,Amazonas,-2.864,ARS,8,A,1,M,2.709,1
ARS 521,Amazon,Amazonas,-2.864,ARS,8,A,2,M,2.744,1
ARS 523,Amazon,Amazonas,-2.864,ARS,8,A,2,F,2.703,0
ARS 524,Amazon,Amazonas,-2.864,ARS,8,A,2,F,2.653,0
ARS 525,Amazon,Amazonas,-2.864,ARS,8,A,2,F,2.892,0
ARS 531,Amazon,Amazonas,-2.864,ARS,8,B,1,F,2.64,0
ARS 533,Amazon,Amazonas,-2.864,ARS,8,B,1,F,2.746,0
ARS 537,Amazon,Amazonas,-2.864,ARS,8,B,2,F,2.593,0
ARS 545,Amazon,Amazonas,-2.864,ARS,8,B,3,F,2.708,0
ARS 556,Amazon,Amazonas,-2.864,ARS,8,C,3,F,2.459,0
ARS 559,Amazon,Amazonas,-2.864,ARS,8,C,3,F,2.57,0
ARS 560,Amazon,Amazonas,-2.864,ARS,8,C,3,F,2.346,0
RMO 056,Amazon,Rondonia,-9.223,RMO,26,A,3,M,2.732,1
RMO 059,Amazon,Rondonia,-9.223,RMO,26,A,3,F,2.965,0
RMO 062,Amazon,Rondonia,-9.223,RMO,26,B,1,F,2.656,0
RMO 063,Amazon,Rondonia,-9.223,RMO,26,B,1,F,3.011,0
RMO 071,Amazon,Rondonia,-9.223,RMO,26,B,3,M,2.683,1
RMO 080,Amazon,Rondonia,-9.223,RMO,26,C,1,M,2.486,1
RMO 084,Amazon,Rondonia,-9.223,RMO,26,C,2,F,2.751,0
RMO 085,Amazon,Rondonia,-9.223,RMO,26,C,2,M,2.612,1
RMO 093,Amazon,Rondonia,-9.223,RMO,33,A,1,M,2.834,1
RMO 098,Amazon,Rondonia,-9.223,RMO,33,A,. 2,F,2.781,0
RMO 099,Amazon,Rondonia,-9.223,RMO,33,A,2,F,2.85,0
RMO 101,Amazon,Rondonia,-9.223,RMO,33,A,3,M,2.709,1
RMO 106,Amazon,Rondonia,-9.223,RMO,33,B,1,M,2.708,1
RMO 114,Amazon,Rondonia,-9.223,RMO,33,B,2,M,2.795,1
RMO 118,Amazon,Rondonia,-9.223,RMO,33,B,3,F,2.496,0
RMO 122,Amazon,Rondonia,-9.223,RMO,33,C,1,F,2.376,0
RMO 148,Amazon,Rondonia,-9.223,RMO,39,A,3,F,2.624,0
RMO 171,Amazon,Rondonia,-9.223,RMO,39,C,2,F,2.548,0
RMO 178,Amazon,Rondonia,-9.223,RMO,39,C,3,F,2.392,0
RMO 181,Amazon,Rondonia,-9.223,RMO,41,A,1,F,2.881,0
RMO 187,Amazon,Rondonia,-9.223,RMO,41,A,2,F,2.896,0
RMO 192,Amazon,Rondonia,-9.223,RMO,41,A,3,M,2.703,1
RMO 194,Amazon,Rondonia,-9.223,RMO,41,A,3,M,2.62,1
RMO 197,Amazon,Rondonia,-9.223,RMO,41,B,1,M,2.566605836,1
RMO 198,Amazon,Rondonia,-9.223,RMO,41,B,1,M,2.773966318,1
RMO 199,Amazon,Rondonia,-9.223,RMO,41,B,1,M,2.734925705,1
RMO 205,Amazon,Rondonia,-9.223,RMO,41,B,2,F,2.623553374,0
RMO 211,Amazon,Rondonia,-9.223,RMO,41,C,1,M,2.701253257,1
RMO 216,Amazon,Rondonia,-9.223,RMO,41,C,2,M,2.46947039,1
RMO 217,Amazon,Rondonia,-9.223,RMO,41,C,2,F,2.557645856,0
RMO 219,Amazon,Rondonia,-9.223,RMO,41,C,2,M,2.747174379,1
RMO 221,Amazon,Rondonia,-9.223,RMO,41,C,3,M,2.512826396,1
RMO 226,Amazon,Rondonia,-9.223,RMO,6,A,1,M,2.969844075,1
RMO 227,Amazon,Rondonia,-9.223,RMO,6,A,1,F,2.823860601,0
RMO 231,Amazon,Rondonia,-9.223,RMO,6,A,2,F,2.775397177,0
RMO 233,Amazon,Rondonia,-9.223,RMO,6,A,2,M,2.800080311,1
