ID,Biome,Latitude,Locality ,State,Lat_grouple,Length.mm,13 CS unscaled,13 CS scaled,18 CS unscaled,18 CS scaled
RPV 014,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0855,992.823712,3.243413662,856.33,2.797508146
RPV 015,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0409,987.0582556,3.224578737,870.28,2.843080809
RPV 016,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.5153,828.7008368,2.707247605,723.64,2.364028814
RPV 017,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8236,922.5170417,3.013731784,797.58,2.605580263
RPV 018,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0539,995.9681027,3.253685939,886.35,2.89557921
RPV 019,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9977,979.1430319,3.198720829,890.62,2.909528692
RPV 020,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.52,824.0752393,2.692136436,726.02,2.371803935
RPV 021,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.08,987.9015834,3.227333769,851.84,2.782839955
RPV 022,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0086,983.1760935,3.211896267,860.5,2.811130942
RPV 023,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1525,1019.83332,3.331650204,893.2,2.917957184
RPV 024,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1929,1037.637257,3.389813131,918.8,3.001588738
RPV 025,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1198,1011.118193,3.303179126,878.56,2.870130389
RPV 026,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9795,962.403162,3.144034058,845.99,2.763728838
RPV 027,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0598,982.2537664,3.208883155,864.41,2.823904355
RPV 028,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0264,981.7128673,3.207116115,861.68,2.814985834
RPV 030,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0664,991.7465557,3.239894746,857.83,2.802408432
RPV 031,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.7333,890.4189161,2.908871779,784.79,2.563797155
RPV 032,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.7956,909.6622366,2.971736966,794.14,2.594342273
RPV 033,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8132,915.7335017,2.991570925,808.61,2.641613702
RPV 034,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8021,925.8934147,3.024761914,822.43,2.686761674
RPV 035,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9361,951.5451402,3.108562447,827.3,2.70267127
RPV 036,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8087,915.4278529,2.990572414,801.91,2.619725756
RPV 037,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1236,1002.164197,3.273927695,865.47,2.827367224
RPV 038,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9747,966.5598792,3.157613461,841.75,2.749877362
RPV 039,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8917,939.0153599,3.06762944,821.59,2.684017513
RPV 040,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9977,967.0974814,3.159369731,841.45,2.748897305
RPV 041,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.6988,873.1828604,2.85256404,754.75,2.465660753
RPV 042,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.6089,857.0414226,2.799832262,765.61,2.501138827
RPV 043,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0003,970.9098825,3.171824303,848.88,2.773170057
RPV 044,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0578,983.7009395,3.213610864,855.91,2.796136065
RPV 045,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1467,1028.16588,3.358871492,923.5,3.016942969
RPV 046,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.7642,901.5919254,2.945372409,792.8,2.589964684
RPV 047,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.298,1054.096624,3.443583538,917.11,2.996067749
RPV 048,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1064,1012.381579,3.307306428,895.89,2.926745031
RPV 049,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9792,960.6207128,3.13821105,836.24,2.731876977
RMO 001,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.7333,890.6539516,2.909639607,786.54,2.569514156
RMO 002,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.8968,934.8047925,3.053874116,820.61,2.680815993
RMO 003,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9909,972.4960747,3.177006167,861.18,2.813352405
RMO 004,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9065,941.8919585,3.077026878,823.24,2.689407828
RMO 005,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.2766,1055.539891,3.448298487,910.41,2.974179803
RMO 006,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.2156,1032.357049,3.372563444,889.12,2.904628405
RMO 007,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9575,958.5210563,3.131351772,832.53,2.719756935
RMO 008,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.2347,1046.043682,3.417275724,921.41,3.010115236
RMO 009,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1294,1022.096864,3.339044882,889.57,2.906098491
RMO 010,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9108,943.3646004,3.081837789,817.19,2.66964334
RMO 011,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.248,1078.128578,3.52209251,950.4,3.104821437
RMO 012,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9569,959.4064672,3.134244283,842.67,2.752882871
RMO 013,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.214,1040.436447,3.398957686,920.16,3.006031664
RMO 014,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.8753,934.2936452,3.05220427,821.85,2.684866896
RMO 015,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.0817,998.1402707,3.260782102,862.66,2.818187354
RMO 016,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.5963,843.2175556,2.754671657,730.94,2.387876874
RMO 017,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9852,961.0483859,3.139608198,851.25,2.780912509
RMO 018,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1777,1027.168775,3.355614091,899.21,2.937590998
RMO 019,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.8765,938.3966686,3.065608263,823.48,2.690191874
RMO 020,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1087,1012.36,3.307235932,904.72,2.955591384
RMO 021,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1119,1017.387832,3.323661143,914.89,2.988815325
RMO 022,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.5603,825.7759055,2.697692271,727.44,2.376442873
RMO 023,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.0481,986.0780902,3.221376677,902,2.946705531
RMO 024,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1029,1015.625385,3.317903481,904.61,2.955232029
RMO 025,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1657,1022.392895,3.34001197,889.18,2.904824417
RMO 026,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9671,961.1616369,3.139978173,846.35,2.764904907
RMO 027,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.253,1049.084803,3.427210632,929.06,3.035106697
RMO 028,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.099,1027.018163,3.355122064,910.72,2.975192529
RMO 029,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.0714,999.6374727,3.265673248,890.15,2.907993269
RMO 030,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.169,1041.114935,3.40117421,923.94,3.018380386
RMO 031,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.8769,937.1925342,3.061674528,834.92,2.727564725
RMO 032,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.2487,1050.919671,3.433204884,932.73,3.047096064
RMO 033,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.7693,906.2248829,2.960507622,805.5,2.631453775
RMO 034,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1764,1026.723916,3.354160801,916.47,2.99397696
RMO 035,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.0099,980.1785552,3.202103736,857.04,2.799827614
RMO 036,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.0141,988.2389932,3.228436039,878.65,2.870424407
RMO 037,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.156,1023.423891,3.34338009,898.14,2.934095461
RMO 038,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.8494,922.7932513,3.014634121,809.18,2.643475811
