ID,Biome,Latitude,Locality ,Ecoregion,Collection month,Season,Length.mm,CS,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PW13,PW14,PW15,PW16,PW17,PW18,PW19,PW20,PW21,PW22,PW23,PW24,PW25,PW26,PW27,PW28,PW29,PW30,PW31,PW32
APR 005,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.05,2.869144412,-0.002063283,-0.00418596,-0.001646263,0.001572351,0.002584983,-0.000981655,-0.001973779,-0.001500103,-0.000650984,0.004862568,-0.003010369,-0.003776702,0.016787662,-0.001671478,0.000318667,-0.001782306,0.012265128,-0.002656243,-0.005018214,0.000151179,0.006602026,-0.003422941,0.008113685,0.004812515,0.01856011,-0.003196127,-0.026872838,-0.001840587,-0.009156496,0.008335353,-0.000610863,0.011842557
APR 006,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.09,2.854144774,-0.001507485,-0.001994405,-0.001535038,-0.001395727,0.001444836,-0.00173171,-4.44E-05,0.001767701,-0.002333723,0.001182157,-0.002317616,-0.003589697,0.0092651,-0.003785725,0.000610988,-0.00286006,0.009289062,0.000576536,-0.005625179,0.005227384,0.000873785,-0.000803687,-0.000842183,-0.002622895,0.012998355,0.000276034,-0.004543596,-0.000769224,-0.016408285,0.003554251,-0.008557084,0.010447954
APR 007,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.23,2.956437416,-0.003155045,-0.001991189,-0.000306446,0.000374636,0.003848762,0.002863808,0.001811509,0.00375646,0.000112698,0.001021482,-0.002293831,-0.002692827,0.005266824,0.001821393,-0.001600801,0.002210377,0.003259245,-0.001061702,-0.004518578,-0.004009638,0.004306946,0.00210919,0.007185275,0.003759718,-0.009608248,0.000710819,0.010425642,0.000352913,0.009994057,-0.001682043,-0.006886087,0.003216118
APR 008,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.02,2.804083516,4.97E-05,-0.001007701,0.001583068,0.000591733,0.000724559,-0.002069782,0.003467867,-0.001323644,-0.00162077,-0.000310447,-0.005996601,-0.000325233,0.009395153,-0.001243319,-0.008973307,0.000983365,-0.00340635,0.000611403,0.003225837,0.001286335,-0.006193373,-0.003681995,-0.000408698,0.001475406,-0.010121229,-0.005171091,0.012252617,-0.002532821,-0.003296958,-0.004593505,-0.008729105,0.014650206
APR 009,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.83,2.633612038,-0.001240406,-0.000283626,-0.001949769,0.001179329,-0.000594299,-0.002910646,-0.003661566,-0.001896596,0.003504777,0.002892267,-0.000417537,-0.002622865,-0.000922797,-0.001115526,0.003451935,-0.005499536,0.011320885,0.00064365,-0.004319911,0.001820629,-0.000710005,-0.002157162,0.006336653,0.006400291,0.014121084,0.000672201,-0.018552942,-0.001530198,-0.008523944,0.001476282,-0.011870149,0.021405108
APR 011,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.3015,3.045027685,0.001541801,-0.000844075,-1.11E-05,0.001318664,-0.001336001,-0.004131869,0.002888226,-0.001905502,0.011604838,0.00043408,-0.004478707,-0.003903228,0.005683617,0.000789222,-0.005051077,0.001984063,0.00586541,-0.000107716,9.30E-05,0.002749168,0.000188178,0.001580232,-0.00870789,-0.002878751,-0.004137563,-5.87E-05,-0.008190423,-0.00211739,0.001296737,0.001481104,-0.003472962,-0.000831107
APR 012,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.2671,3.07371361,-0.001260272,-0.003682257,0.000600637,-0.000548796,-0.001030288,0.0032989,0.001680987,0.001292465,4.56E-06,-0.000483157,-0.006013769,0.000707705,0.012275839,-0.004008764,-0.001685585,-0.000241376,-0.001249575,-7.30E-06,0.014970706,0.001340137,-0.002835395,0.000128419,-0.014754769,0.001129864,-0.013512959,-0.001617614,-0.002355045,0.002776716,-0.007867693,-0.001385023,-0.005653338,0.008148038
APR 013,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.7664,2.568574716,-0.001726252,0.000613449,-0.000451571,0.000502037,-0.000674015,0.000487398,0.000142228,-1.72E-05,0.008338133,0.000848246,0.005415249,-0.001893102,0.00044621,-0.000501122,0.004466272,-0.002805391,-0.002030203,-0.001660411,-0.008473619,0.002538812,-0.005696247,-0.002787961,0.007555688,-0.001650903,-0.006285437,-0.002493893,-0.01328422,-0.001417377,0.005902101,-0.001110115,-0.015268997,0.011061808
APR 014,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.8524,2.556700518,0.000837328,-0.002072148,0.000360879,-0.000821604,-0.000206446,-0.002680963,-0.002764203,0.000950703,0.002475317,0.00197014,0.003010078,0.000162565,-0.0018208,0.006417499,-0.005842403,0.001541941,-0.006898784,-0.005420804,-0.014292894,-0.004299308,-0.00983411,0.000463155,-0.005804743,-0.004036781,0.005244778,0.009348524,-0.009695954,0.005899416,0.030789344,-0.000797419,-0.003744114,0.016231696
APR 015,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.7277,2.457660424,-0.00010377,-0.000184037,-0.001248131,0.002911202,0.001135457,0.000485065,0.00159919,-0.001456805,-0.000508748,-0.00206761,-0.001442548,-0.006292924,0.007247351,0.000895843,-0.005377264,0.004294805,0.018161068,-0.001959641,-0.005100874,0.005285466,0.013134899,-0.001652133,0.019478785,-0.000580161,0.013388314,0.003140448,-0.02341281,-0.003121276,0.015399596,-0.000774364,-0.00190813,0.018590116
APR 016,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.0582,2.828167677,-9.18E-05,0.000622833,-0.000211194,0.003133874,0.003354624,0.001792375,-0.002163651,-0.000484476,-0.007654526,0.003455893,0.003611399,-0.004318439,-0.001864673,-0.001890955,0.002155417,0.0008834,0.024933602,0.000735212,-0.013724759,-0.001007001,0.008881217,0.000616084,0.003243671,0.004141543,0.007939435,-0.004771138,-0.013681203,-0.00104816,-0.008410561,-0.002750874,-0.008660273,-0.005796162
APR 017,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.8027,2.572136406,-0.001072066,-0.002842987,-0.002656806,0.001071105,0.001495697,-0.000101058,0.00146812,0.002332762,-0.005012864,0.003262241,0.002120532,-0.005069521,0.002989966,0.000212972,-0.004767246,0.00184623,0.00793491,0.001787255,-0.001260803,7.06E-05,0.003750321,0.007978099,0.0103579,-0.004609155,-0.003144057,0.002319804,-0.016307872,-0.002849436,0.020313127,-0.006319948,-0.007340186,-0.010148349
APR 018,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.856,2.633932943,0.000926213,-9.68E-05,0.001995879,0.000483819,-0.001213766,-0.001131802,0.001783043,5.09E-07,0.000238714,0.00099992,-0.005409077,0.000535817,0.01115251,0.000759309,-0.007408761,-0.001652293,0.013553952,0.002972433,-0.006378395,-0.00719531,-0.010042751,-0.001344101,-0.00685638,0.001440833,0.003619836,-0.000599665,-0.007803252,0.00377768,0.015268934,-0.006299838,0.000152513,0.011968371
APR 019,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.0202,2.811553952,-0.001326305,-0.000285217,-0.001100955,-0.001374557,-0.000148695,0.000668366,2.78E-06,0.001263801,0.00045129,-0.003449047,-0.004234009,-0.002204495,-0.003894469,-0.000911796,0.004761987,-0.002893719,0.016524222,0.001340085,-0.000237137,-0.002825464,-0.004747078,0.000819611,-0.020609661,0.000920835,0.006832096,0.003977845,0.006668944,4.97E-05,0.001588619,0.004093899,-0.003323963,0.001020687
APR 020,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.7602,2.529688982,-0.000364494,0.001556035,-0.001100599,0.000644046,0.000158605,-0.000209628,0.001826666,0.005204889,0.001396396,-0.000625592,0.000323736,0.000113374,0.001880671,0.003805403,0.002655581,-0.000610726,0.002721215,0.002316179,0.003955152,-0.002501956,0.002734509,0.000628068,-0.000673132,0.001111681,-0.000657933,-0.00567125,0.002904879,-0.000257393,-0.010555128,-0.00679501,0.002973485,0.012295232
APR 021,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.7161,2.462126714,-0.001846502,0.000783078,0.001101296,0.000314046,-0.001244737,0.000846219,-0.004849134,0.001898875,-0.002155415,0.004916809,-0.007135282,-0.001704877,0.017758775,-0.003721851,-0.010480237,-0.001036046,0.01267455,-0.002576423,0.002239166,0.000157704,-0.001087911,-0.002150752,-0.023367088,-0.004858077,0.005847186,0.007959659,-0.002217011,0.002766313,-0.003384686,-0.0023444,0.001965718,0.018088134
APR 022,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.811,2.610190466,-0.002298822,-0.000769112,-0.001309366,-0.001932825,0.003986565,0.002194024,0.002808364,0.002170531,-0.005719967,-0.002036203,0.001168165,0.000198013,0.002204089,0.001303017,-0.003390008,0.009636478,0.004512774,0.000676675,-0.000746013,-8.12E-05,0.001584607,0.007805215,0.005551454,-0.000740801,-0.005241833,-0.002779977,-0.011792575,0.00382944,0.009765414,-0.001750641,-0.019397572,0.008011235
APR 023,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.0402,2.814071716,-0.001584564,-0.000730808,0.002535258,0.001389673,-0.000890948,-5.96E-05,0.002030041,-0.002494532,0.002306064,-0.003419895,-0.008945938,-0.001024974,0.011668131,0.001658699,-0.009755825,0.002666764,-0.003398109,0.000611197,0.016460996,-0.005013636,-0.010352264,-0.003046092,-0.019662827,0.002411174,0.00319587,0.002718456,0.003949542,-0.000292809,0.0070062,-0.001939986,-0.00309673,0.001429283
APR 024,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.2703,2.955187736,-0.002833723,-0.005208992,-0.002014272,0.003605938,0.000880484,-0.000415412,0.003696138,0.005718071,-0.003490547,-0.002187047,0.002628345,-0.000613815,-0.000742123,0.000404107,0.004759311,-0.000287575,0.020587301,0.003007057,-0.006895321,0.002728542,0.008013424,-0.001511274,-0.002180734,0.002140786,0.014529778,0.000915203,-0.022149075,0.003564884,-0.001037031,0.006020657,-0.015111042,-0.005611088
APR 025,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.8941,2.650281929,-0.001419535,-0.001321506,-0.005186184,-0.002085063,0.000645144,-0.002178841,-0.004533593,0.001043832,-0.002385669,0.006049518,0.003904782,-0.006564496,-0.010836421,-0.002179637,0.011280755,0.000292615,0.031018396,0.001044483,-0.019844998,0.000109082,0.008019215,0.004635658,0.004527137,0.002924187,0.014372799,0.002415372,-0.027276706,0.006633644,0.026850548,-0.001570313,-0.020627961,0.012169187
APR 026,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.0713,2.807909747,-0.000158797,0.003134903,0.000329796,0.002856573,-0.000892923,-0.0012118,-0.000734467,-0.00057587,-0.000954976,0.003873171,-0.003919599,-0.00115265,0.001489265,0.003419945,0.000984668,0.001550933,0.004801626,-0.002761789,0.009340414,-0.002349424,0.000911907,-0.003347142,-0.002066561,-0.001254174,0.006653118,-0.007550319,-0.005041545,-0.007865755,-0.013239796,0.001826545,-0.009502799,-0.003860976
