C:/Users/vmc04/Desktop/Wing saga/Lab reared wings for landmarking/18/APR/APRMB/coord_Jul26_Format - {Aligned specimens} - 1 23 36 0	from C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/APR/APRMB/coord_Jul26.txt - TPS like internal (simplified) format - can be converted to other format by using TET	
-0.37555160904163565 -0.095281233127412615 -0.091708925644114966 -0.13203925193114852 0.28238111502208807 -0.066871522562197319 0.30606364511640932 -0.036300376944798006 0.31641128032783522 -0.0086945615508449703 0.3072922479744673 0.02972690186861475 0.25386495065079323 0.063087942125275145 0.16855018705956923 0.09932659481328901 0.10519940844250418 0.11955385242205971 -0.10378579381533451 0.14899535458188559 -0.36763175569270823 0.018242682562781803 -0.19940808092473516 0.020377887195384359 -0.19775907135143975 -0.013761925350478666 -0.136726427356757 -0.0045990341010644503 -0.13485437610043247 -0.037155625417701454 -0.13728590516572814 -0.065876649226799311 -0.012902482553980408 -0.076941015586155709 0.017851593053198798 0.038209980229311109 
-0.37576364700282011 -0.10700366031004586 -0.073587431729213504 -0.13210264749244172 0.27993391809537527 -0.070525009912631456 0.30159395396639238 -0.041818582624395577 0.31336647817139174 -0.0099764425989136221 0.30459365230037072 0.020429216262470976 0.25943369538317806 0.06279318029468775 0.17852555895927277 0.099334250227296722 0.067397544639815538 0.13164748530957451 -0.097658613269113334 0.15888095015557566 -0.37234262017461112 0.021239398859738634 -0.2026100960404667 0.019309258956933972 -0.19976433659292581 -0.011309383750937027 -0.13597588421808987 0.0011067311922632694 -0.13193383033359135 -0.033658137723978326 -0.1318522216916308 -0.065074310056487547 -0.014851546710000755 -0.076230446403939486 0.031495426246665327 0.032958149615229096 
-0.38517433375225535 -0.097667114060368251 -0.071668229873015493 -0.12258194556861027 0.27360889628783958 -0.056342057421944314 0.29587360705418936 -0.031056121475350109 0.30614691168808045 -0.00014748526931341588 0.29816504184175796 0.0272247826984807 0.26055667196602306 0.059205680030618671 0.19365282985755783 0.091701720420754987 0.091809827751867273 0.11807613271434823 -0.073048632922311757 0.14924328963360139 -0.36800096496645185 0.021148926348911804 -0.21141342692517301 0.010738253747963529 -0.20878619205676791 -0.016655001724882892 -0.15149837127298374 -0.0066659775934150524 -0.14823006831626639 -0.036891570701035194 -0.14653295432275093 -0.068068272188597179 0.0024667041840443949 -0.071264068061848831 0.042072683776616118 0.030000828470686539 
-0.33160670486491839 -0.10477189040471563 -0.091673845911083088 -0.13365639776670388 0.2769064795711314 -0.061114832868479713 0.30161445918308499 -0.034863098560390673 0.30894557191352839 -0.0085772618529625158 0.30877618912737426 0.024767997600738133 0.269865237235069 0.060302698916932275 0.19338360296110138 0.096380780201467411 0.090123905610372909 0.12828459215704899 -0.085697795469871094 0.15939151457032907 -0.36423807235358346 0.019513743598345883 -0.21302204368727673 0.014285687521508375 -0.21378596004077985 -0.016005035728719249 -0.15199952441649672 -0.0018020634483676336 -0.15206772921517439 -0.036555797211388928 -0.15142317125935711 -0.067084108046448224 -0.025339143775658882 -0.075315546727750218 0.031238545392537519 0.036819018049556909 
-0.37064855070715758 -0.097842183958079407 -0.10717231956594038 -0.12960037655362155 0.2818271581631086 -0.057908438183118131 0.30019100520726383 -0.03683210544231745 0.31311199159653191 -0.0022660600478187883 0.30478972109630414 0.02605828247150889 0.26782714904095439 0.062239901568171066 0.19081513040184178 0.093754850957448468 0.082116476213570933 0.12335615687036405 -0.093128166681369015 0.14583107460788494 -0.36834262913743204 0.016150295997979208 -0.19994895591646994 0.012964451139214997 -0.19816169605442591 -0.012250365578918239 -0.14010490199667935 -0.0014051848035215083 -0.13880052531912479 -0.035046004363418648 -0.13688688184276304 -0.066732639912576608 -0.018313575259260122 -0.071538820484689791 0.030829570761047434 0.031067165715509212 
-0.35991844751698876 -0.097108430650172606 -0.097772483211355593 -0.12827469064022268 0.28590886522617004 -0.061668202632964984 0.3066595832294014 -0.03160087752434354 0.31292088078065128 -0.0035542198647582905 0.30490290093975714 0.026960312413314858 0.26627877781575993 0.05710840067126946 0.19195646121140197 0.093426175475444642 0.074376026310937413 0.1281704900000348 -0.088720258444285258 0.15155060892042055 -0.35873312696891557 0.024292348232831638 -0.21030948467573335 0.014194633504960755 -0.20994304065561481 -0.016411509778142153 -0.13963513789955234 -0.0039588299692785121 -0.13978059100413742 -0.035890521566655106 -0.13881063885428568 -0.072822652356259857 -0.021898402038806199 -0.073797829844496204 0.022518115755596316 0.029384795609016828 
-0.36295462385618044 -0.098777313036193873 -0.078568846551854837 -0.12933685279282858 0.28001622772822232 -0.07288912266912155 0.30626429404573163 -0.038635023023308505 0.31529954260446513 0.0004446252606519683 0.30784693291161902 0.024556629076815859 0.26013753289450575 0.059442316814764813 0.18971936236809034 0.094164338368262615 0.061379401225521719 0.12643083473880026 -0.088156986329852957 0.15068342809374688 -0.38244356123889067 0.019872734809836669 -0.20335377251164224 0.015631556140102341 -0.20633177499710445 -0.01554329991790137 -0.12956784204875821 -0.0015970009932476008 -0.13518077527620592 -0.030752775026827439 -0.12913139889022174 -0.062153722351386539 -0.028598533869188116 -0.073948751816313954 0.023624821791744847 0.032407398324148691 
-0.36566183693932885 -0.1040235030391395 -0.067571525382940215 -0.12571721052264184 0.27496027216563407 -0.071586409502383389 0.3060144016725031 -0.040916464435386712 0.3170382784268837 -0.0097315844316946207 0.30384099739885451 0.022677274427973463 0.25479523539102444 0.064025117274688292 0.18664349302782635 0.10285761039839053 0.07677680934799655 0.1329411949923329 -0.087613878711323284 0.15500603447105013 -0.37256623420014684 0.025033638977074838 -0.20815442664557282 0.011586957531294521 -0.20937840550154893 -0.012634200251115441 -0.13574842076669047 -0.0021001054128777339 -0.1369935191179206 -0.034939421228224542 -0.13684164912584354 -0.068015085016665131 -0.017369176530194434 -0.075295599666758931 0.017829585490789647 0.030831755434082123 
-0.36206082683137414 -0.094516300893426164 -0.091165619564713848 -0.13529767813433177 0.28877201977235578 -0.058551732959183415 0.30186788112220087 -0.029012276940979354 0.30816731175942919 0.00016256339712854566 0.29792330083878782 0.034741563925115161 0.26931221136675643 0.054965375568850977 0.20857570142398282 0.087622009399886097 0.079808692157388478 0.1276393834026551 -0.077403926087121197 0.16036332661741734 -0.35788233948403736 0.018171729384905612 -0.2027912231224592 0.015219473473150924 -0.20229422304706976 -0.013590751184860663 -0.14503838941114297 -0.0058003203214643103 -0.14450829323693015 -0.040113993465824574 -0.14043076996518386 -0.072140125640096697 -0.041965544175809756 -0.079965328381436926 0.011114036484941154 0.03010308275249364 
-0.36744291465981715 -0.086292932238944645 -0.095141559943079768 -0.12438232662183818 0.28244013199430862 -0.060905157891364962 0.30469584558931223 -0.034481006843362041 0.31751049184541791 -0.0035640142824798922 0.31050890858586822 0.029190306661155161 0.26487068371880462 0.061728598554011721 0.18481844220177684 0.09374978354779237 0.071679940599848113 0.12006628055411793 -0.083020932295049782 0.14679976549922841 -0.3735179381628923 0.013027570601694675 -0.20274475018516736 0.015281165955808411 -0.202891521568623 -0.016539060149965965 -0.1351210282784292 -0.00057512007624005456 -0.13716685063057452 -0.041172535238380485 -0.13668060502446697 -0.070067031658699583 -0.028220112693227658 -0.072707474626053564 0.025423768905993172 0.030843188253521784 
